rank,product,metric,model,sMAPE,SumPctErr
1,Choco Truffle Cake,qty,AutoARIMA,29.97704412390244,29.47594248668151
1,Choco Truffle Cake,totalValue,AutoARIMA,30.54662023623007,31.345608733867376
2,Pineapple Cake,qty,AutoETS,36.08994863399634,35.6863838611666
2,Pineapple Cake,totalValue,LightGBM,27.063418657759016,14.473942253905358
3,Fresh Fruit Cake,qty,AutoARIMA,22.986539572134078,20.13894310812802
3,Fresh Fruit Cake,totalValue,LightGBM,17.02471304438372,7.0158492159367025
4,Ferrero Rocher Cake,qty,mean_all,28.849886324667285,-0.3369171253863798
4,Ferrero Rocher Cake,totalValue,Croston,30.11428405588824,-0.6255078755556357
5,Belgium Choco Mousse Cake,qty,Croston,46.541086103683476,43.48317220947525
5,Belgium Choco Mousse Cake,totalValue,mean_classical,49.685759378156355,56.93346754699845
6,Biscoff Jar Cake,qty,AutoARIMA,32.97418301517198,16.08125798737961
6,Biscoff Jar Cake,totalValue,AutoARIMA,26.749739580470255,17.162089184275665
7,Dream Cake,qty,Prophet,27.338531715687157,0.9463812448457766
7,Dream Cake,totalValue,Prophet,27.35072343804992,11.698386027071905
8,Tiramisu Cake,qty,AutoARIMA,34.21738086127316,11.92195057322408
8,Tiramisu Cake,totalValue,AutoETS,35.562054760478205,14.43340357373486
9,Butterscotch Cake,qty,Prophet,70.90616934025628,93.4380228512364
9,Butterscotch Cake,totalValue,Croston,71.89197702377678,92.89158377898846
10,Choco Vanilla Cake,qty,mean_all,30.837033962832866,19.16201442839391
10,Choco Vanilla Cake,totalValue,LightGBM,25.26753674581669,7.160414564506929
