ds,yhat,yhat_lower,yhat_upper
2026-06-13,1407.1056064870065,-3144.012801486529,5955.903646539826
2026-06-14,2018.7658907018335,-2324.5844033448466,6688.426707381665
2026-06-15,1690.4615578769997,-2775.1729365527094,6173.180238785881
2026-06-16,1672.3194546119905,-2460.0911572098466,5988.989979553903
2026-06-17,1081.2063143756025,-3250.790017434823,5439.849305097282
2026-06-18,1022.7228126071084,-3462.3192580040254,5323.92642214205
2026-06-19,1609.5567889108597,-2848.835146422837,5877.2736649319
2026-06-20,1463.8492802861756,-2743.938927377354,5815.722532598187
2026-06-21,2098.7778783438266,-2334.257420941618,6456.98609391614
2026-06-22,1792.6121647049217,-2644.51258159543,6292.328455633181
2026-06-23,1795.2215487459998,-2184.4294581123127,6119.910540065861
2026-06-24,1223.2494701885003,-3532.4678659321985,5217.725935759605
2026-06-25,1182.1069916816605,-3395.9428290021488,5864.0319964970595
2026-06-26,1784.324718578033,-2633.1513315608354,6218.736250362922
2026-06-27,1651.9168664845643,-2949.345374026899,6489.506462329138
2026-06-28,2297.962181133834,-2089.5430598153416,6702.027394034701
2026-06-29,2000.6566628122819,-2302.6239353765727,6645.539263506951
2026-06-30,2009.8186154704515,-2312.5314214445907,6536.393702805608
2026-07-01,1442.060168675445,-2830.5686859499715,5926.050245375772
2026-07-02,1402.7784650719177,-2779.1790387311185,5917.739663660768
2026-07-03,2004.5055931374936,-2759.151390571316,6491.949363810615
2026-07-04,1869.2711976104179,-2477.1796527331735,6745.368168566805
2026-07-05,2510.182548604256,-1973.99814443615,7142.906743827434
2026-07-06,2205.477059804606,-2177.7272688876296,6449.913080817368
2026-07-07,2205.0277741015034,-2340.561546494887,6786.325813236978
2026-07-08,1625.5159233593583,-2793.882200574599,6177.110307387792
2026-07-09,1572.423675425086,-3176.988796945247,5984.843214526296
2026-07-10,2158.386033940378,-2242.073502451776,6322.882898260763
2026-07-11,2005.555679041217,-2410.341467105149,6370.56033135799
2026-07-12,2627.1853616634216,-1683.795390522686,7327.743849004581
2026-07-13,2301.6826565916085,-2163.6379223464296,7039.256387898682
2026-07-14,2279.1173982457094,-2507.0866370383396,6705.893055432021
2026-07-15,1676.395710810991,-2818.1631192980485,6035.738497225325
2026-07-16,1599.2535587068512,-2672.7383976938477,5910.818324949375
2026-07-17,2160.6086120949744,-2105.4757939740894,6331.374935075277
2026-07-18,1982.9240693791357,-2260.0857474896166,6722.857651665442
2026-07-19,2579.7889350419596,-2038.6769025521,6842.786140873839
2026-07-20,2229.969481917342,-2455.626596836707,6741.302852768383
2026-07-21,2183.9121893679694,-2263.2354089371497,6541.029369341348
2026-07-22,1558.9120834744695,-3025.6515272911383,5769.064679299015
2026-07-23,1461.0994689423842,-2771.700158404865,6153.43364911482
2026-07-24,2003.7839605443364,-2680.5574949922416,6161.250357697717
2026-07-25,1809.8096171192735,-2486.888498982513,6255.639615486152
2026-07-26,2393.1258821273764,-2254.9838231211825,7034.886476061545
2026-07-27,2032.8293050914629,-2430.465962015765,6378.9892603747085
2026-07-28,1979.6566135402247,-2343.2349228590847,6309.404224458284
2026-07-29,1351.1433645339243,-3164.3534702422744,5431.045833861009
2026-07-30,1253.6014840039816,-3283.904634473041,5697.305740636782
