rank,product,metric,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
1,Choco Truffle Cake,totalValue,LightGBM_global,12295.98392672483,14303.991790264576,38.62631703476627,353468.85,500833.1831588269,41.6908967109342
2,Pineapple Cake,totalValue,LightGBM_global,2542.087876112611,3255.273025185509,27.063418657759016,118198.64,135306.64289850148,14.473942253905358
3,Fresh Fruit Cake,totalValue,LightGBM_global,1543.3424102542367,2328.712112675299,17.02471304438372,117903.69,126175.63511042544,7.0158492159367025
4,Ferrero Rocher Cake,totalValue,LightGBM_global,5674.4977911475535,7135.997718029257,47.635921922478474,175205.99999999997,121213.43483759896,-30.816618815794563
5,Belgium Choco Mousse Cake,totalValue,LightGBM_global,3587.065393333554,3836.6110398641754,62.22189391344918,59413.79,106045.64011333621,78.48657712853566
6,Biscoff Jar Cake,totalValue,LightGBM_global,1634.3197213135588,2290.2295551930033,31.340112520947294,23959.86,29639.980496814685,23.70681839048594
7,Dream Cake,totalValue,LightGBM_global,1714.1587343411497,2105.7567064556943,32.20178703194387,67150.49,79572.68007545747,18.499031169329456
8,Tiramisu Cake,totalValue,LightGBM_global,2799.604414604394,3522.453983903179,50.16515707575107,58747.6,94805.8674984467,61.378281833550155
9,Butterscotch Cake,totalValue,LightGBM_global,3131.760005183792,3421.6551461982813,77.11925170467357,38161.399999999994,78826.79225420307,106.56158383655496
10,Choco Vanilla Cake,totalValue,LightGBM_global,623.9308113043128,939.3225626785351,25.26753674581669,31694.89,33964.37551976445,7.160414564506929
1,Choco Truffle Cake,qty,LightGBM_global,92.6933027251422,112.07050905495615,37.975505500224095,2611.0,3710.345729867723,42.10439409681054
2,Pineapple Cake,qty,LightGBM_global,29.278647266901274,35.66979221925503,43.67507758984468,721.0,1061.0661976518577,47.16590813479302
3,Fresh Fruit Cake,qty,LightGBM_global,22.29670146347203,26.226237358422566,35.73568472435843,658.0,947.8571190251365,44.05123389439765
4,Ferrero Rocher Cake,qty,LightGBM_global,12.704527558718597,17.968287498032396,31.007063195346134,555.0,527.4299162572637,-4.967582656348883
5,Belgium Choco Mousse Cake,qty,LightGBM_global,9.251513518425858,11.034336601089441,47.98055176768669,232.0,337.6246402702154,45.527862185437684
6,Biscoff Jar Cake,qty,LightGBM_global,17.50080257140565,20.879743065048068,35.36999573253191,240.0,299.08564591782863,24.619019132428598
7,Dream Cake,qty,LightGBM_global,11.752096278192768,13.25212258222271,35.572763702034,395.0,532.7213121087691,34.86615496424535
8,Tiramisu Cake,qty,LightGBM_global,9.976173829426378,11.583392797804626,39.71854296519856,310.0,356.7830988761984,15.09132221812851
9,Butterscotch Cake,qty,LightGBM_global,27.302329339547295,29.909436004003844,76.52466032446476,327.0,681.9302814141149,108.5413704630321
10,Choco Vanilla Cake,qty,LightGBM_global,8.633321408153817,9.922747999474863,39.57001927493008,254.0,344.2119767362515,35.51652627411475
