rank,product,metric,unit,horizon_weeks,forecast_total_point,forecast_total_with_safety,forecast_avg_per_week,recent_13w_actual_total,recent_13w_actual_avg_per_week,vs_recent_13w_pct
1,Choco Truffle Cake,totalValue,₹,13,341652.5075799881,444148.2598539845,26280.962121537545,353468.85,27189.911538461536,-3.3429657012242737
1,Choco Truffle Cake,qty,units,13,2561.148112684358,3329.492546489665,197.01139328341213,2611.0,200.84615384615384,-1.9093024632570745
2,Pineapple Cake,totalValue,₹,13,108285.93379970611,140771.71393961794,8329.687215362008,118198.64,9092.203076923077,-8.38648075840288
2,Pineapple Cake,qty,units,13,683.4602363752938,888.498307287882,52.57386433656106,721.0,55.46153846153846,-5.206624635881583
3,Fresh Fruit Cake,totalValue,₹,13,120630.90198064838,156820.1725748429,9279.300152357568,117903.69,9069.514615384616,2.313084501976471
3,Fresh Fruit Cake,qty,units,13,656.2204607327437,853.0865989525669,50.47849697944183,658.0,50.61538461538461,-0.27044669715140857
4,Ferrero Rocher Cake,totalValue,₹,13,185518.3215467987,241173.8180108383,14270.640118984515,175205.99999999997,13477.384615384613,5.885826710728353
4,Ferrero Rocher Cake,qty,units,13,588.4437653628657,764.9768949717255,45.26490502791275,555.0,42.69230769230769,6.025903668984819
5,Belgium Choco Mousse Cake,totalValue,₹,13,60996.81141479857,79295.85483923815,4692.0624165229665,59413.79,4570.291538461539,2.664400663210625
5,Belgium Choco Mousse Cake,qty,units,13,236.9770356119649,308.07014629555437,18.229002739381915,232.0,17.846153846153847,2.145273970674529
6,Biscoff Jar Cake,totalValue,₹,13,59065.125599369574,76784.66327918044,4543.471199951506,66141.08,5087.775384615385,-10.6982746586999
6,Biscoff Jar Cake,qty,units,13,590.0727264319386,767.0945443615202,45.39020972553374,672.0,51.69230769230769,-12.191558566675807
7,Dream Cake,totalValue,₹,13,70575.72357757726,91748.44065085043,5428.901813659789,67150.49,5165.422307692308,5.100831844380065
7,Dream Cake,qty,units,13,414.8609430872049,539.3192260133663,31.912380237477297,395.0,30.384615384615383,5.028086857520221
8,Tiramisu Cake,totalValue,₹,13,55442.010467366556,72074.61360757652,4264.770035951274,58747.6,4519.046153846154,-5.6267652340409535
8,Tiramisu Cake,qty,units,13,291.3199586192258,378.7159462049936,22.409227586094293,310.0,23.846153846153847,-6.025819800249737
9,Butterscotch Cake,totalValue,₹,13,39952.087877509795,51937.71424076273,3073.237529039215,38161.399999999994,2935.4923076923073,4.692406142095944
9,Butterscotch Cake,qty,units,13,325.0305702861362,422.5397413719771,25.002351560472015,327.0,25.153846153846153,-0.6022720837503986
10,Choco Vanilla Cake,totalValue,₹,13,34639.42418482897,45031.25144027766,2664.57109114069,31694.89,2438.0684615384616,9.290248948107939
10,Choco Vanilla Cake,qty,units,13,279.68873653691765,363.59535749799295,21.51451819514751,254.0,19.53846153846154,10.11367580193608
