rank,product,metric,2026-04-20,2026-04-27,2026-05-04,2026-05-11,2026-05-18,2026-05-25,2026-06-01,2026-06-08,2026-06-15,2026-06-22,2026-06-29,2026-07-06,2026-07-13,2026-07-20,2026-07-27,2026-08-03,2026-08-10,2026-08-17,2026-08-24,2026-08-31,2026-09-07
1,Choco Truffle Cake,qty,,,,,,,,,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358,256.1148112684358
1,Choco Truffle Cake,totalValue,,,,,,,,,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816,34165.250757998816
2,Pineapple Cake,qty,,,,,,,,,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937,68.34602363752937
2,Pineapple Cake,totalValue,,,,,,,,,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613,10828.593379970613
3,Fresh Fruit Cake,qty,,,,,,,,,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436,65.62204607327436
3,Fresh Fruit Cake,totalValue,,,,,,,,,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841,12063.090198064841
4,Ferrero Rocher Cake,qty,,,,,,,,,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659,58.84437653628659
4,Ferrero Rocher Cake,totalValue,,,,,,,,,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872,18551.832154679872
5,Belgium Choco Mousse Cake,qty,,,,,,,,,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494,23.697703561196494
5,Belgium Choco Mousse Cake,totalValue,,,,,,,,,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857,6099.681141479857
6,Biscoff Jar Cake,qty,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,59.00727264319386,,,,,,,,
6,Biscoff Jar Cake,totalValue,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,5906.512559936958,,,,,,,,
7,Dream Cake,qty,,,,,,,,,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049,41.48609430872049
7,Dream Cake,totalValue,,,,,,,,,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255,7057.5723577577255
8,Tiramisu Cake,qty,,,,,,,,,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583,29.131995861922583
8,Tiramisu Cake,totalValue,,,,,,,,,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545,5544.2010467366545
9,Butterscotch Cake,qty,,,,,,,,,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625,32.503057028613625
9,Butterscotch Cake,totalValue,,,,,,,,,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794,3995.2087877509794
10,Choco Vanilla Cake,qty,,,,,,,,,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177,27.96887365369177
10,Choco Vanilla Cake,totalValue,,,,,,,,,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897,3463.942418482897
