rank,product,metric,week_index,week_start,actual,point,with_safety_30pct,point_err,safety_err
1,Choco Truffle Cake,totalValue,1,2026-03-16,22709.010000000002,35381.42505054544,45995.85256570907,12672.415050545438,23286.84256570907
1,Choco Truffle Cake,totalValue,2,2026-03-23,13025.650000000001,35381.42505054544,45995.85256570907,22355.77505054544,32970.20256570907
1,Choco Truffle Cake,totalValue,3,2026-03-30,39507.07,35381.42505054544,45995.85256570907,-4125.6449494545595,6488.7825657090725
1,Choco Truffle Cake,totalValue,4,2026-04-06,19297.32,35381.42505054544,45995.85256570907,16084.10505054544,26698.532565709073
1,Choco Truffle Cake,totalValue,5,2026-04-13,35564.509999999995,35381.42505054544,45995.85256570907,-183.0849494545546,10431.342565709077
1,Choco Truffle Cake,totalValue,6,2026-04-20,25579.879999999997,35381.42505054544,45995.85256570907,9801.545050545443,20415.972565709075
1,Choco Truffle Cake,totalValue,7,2026-04-27,31157.079999999998,35381.42505054544,45995.85256570907,4224.345050545442,14838.772565709074
1,Choco Truffle Cake,totalValue,8,2026-05-04,32638.980000000003,35381.42505054544,45995.85256570907,2742.445050545437,13356.872565709069
1,Choco Truffle Cake,totalValue,9,2026-05-11,33887.18000000001,35381.42505054544,45995.85256570907,1494.2450505454326,12108.672565709065
1,Choco Truffle Cake,totalValue,10,2026-05-18,25126.11,35381.42505054544,45995.85256570907,10255.31505054544,20869.74256570907
1,Choco Truffle Cake,totalValue,11,2026-05-25,32377.55,35381.42505054544,45995.85256570907,3003.875050545441,13618.302565709073
1,Choco Truffle Cake,totalValue,12,2026-06-01,21354.18,35381.42505054544,45995.85256570907,14027.24505054544,24641.672565709072
1,Choco Truffle Cake,totalValue,13,2026-06-08,21244.33,35381.42505054544,45995.85256570907,14137.095050545438,24751.52256570907
1,Choco Truffle Cake,qty,1,2026-03-16,172.0,268.83059641135486,349.4797753347613,96.83059641135486,177.4797753347613
1,Choco Truffle Cake,qty,2,2026-03-23,103.0,268.83059641135486,349.4797753347613,165.83059641135486,246.4797753347613
1,Choco Truffle Cake,qty,3,2026-03-30,280.0,268.83059641135486,349.4797753347613,-11.169403588645139,69.47977533476131
1,Choco Truffle Cake,qty,4,2026-04-06,141.0,268.83059641135486,349.4797753347613,127.83059641135486,208.4797753347613
1,Choco Truffle Cake,qty,5,2026-04-13,259.0,268.83059641135486,349.4797753347613,9.830596411354861,90.47977533476131
1,Choco Truffle Cake,qty,6,2026-04-20,185.0,268.83059641135486,349.4797753347613,83.83059641135486,164.4797753347613
1,Choco Truffle Cake,qty,7,2026-04-27,233.0,268.83059641135486,349.4797753347613,35.83059641135486,116.47977533476131
1,Choco Truffle Cake,qty,8,2026-05-04,247.0,268.83059641135486,349.4797753347613,21.83059641135486,102.47977533476131
1,Choco Truffle Cake,qty,9,2026-05-11,256.0,268.83059641135486,349.4797753347613,12.830596411354861,93.47977533476131
1,Choco Truffle Cake,qty,10,2026-05-18,187.0,268.83059641135486,349.4797753347613,81.83059641135486,162.4797753347613
1,Choco Truffle Cake,qty,11,2026-05-25,231.0,268.83059641135486,349.4797753347613,37.83059641135486,118.47977533476131
1,Choco Truffle Cake,qty,12,2026-06-01,161.0,268.83059641135486,349.4797753347613,107.83059641135486,188.4797753347613
1,Choco Truffle Cake,qty,13,2026-06-08,156.0,268.83059641135486,349.4797753347613,112.83059641135486,193.4797753347613
2,Pineapple Cake,totalValue,1,2026-03-16,8053.71,11794.77357624731,15333.205649121503,3741.0635762473094,7279.4956491215025
2,Pineapple Cake,totalValue,2,2026-03-23,6981.42,11794.77357624731,15333.205649121503,4813.353576247309,8351.785649121503
2,Pineapple Cake,totalValue,3,2026-03-30,13262.3,11794.77357624731,15333.205649121503,-1467.5264237526899,2070.9056491215033
2,Pineapple Cake,totalValue,4,2026-04-06,10174.150000000001,11794.77357624731,15333.205649121503,1620.623576247308,5159.055649121501
2,Pineapple Cake,totalValue,5,2026-04-13,8375.539999999999,11794.77357624731,15333.205649121503,3419.2335762473103,6957.6656491215035
2,Pineapple Cake,totalValue,6,2026-04-20,6768.84,11794.77357624731,15333.205649121503,5025.933576247309,8564.365649121502
2,Pineapple Cake,totalValue,7,2026-04-27,10165.17,11794.77357624731,15333.205649121503,1629.6035762473093,5168.0356491215025
2,Pineapple Cake,totalValue,8,2026-05-04,12483.6,11794.77357624731,15333.205649121503,-688.826423752691,2849.605649121502
2,Pineapple Cake,totalValue,9,2026-05-11,9724.029999999999,11794.77357624731,15333.205649121503,2070.7435762473106,5609.175649121504
2,Pineapple Cake,totalValue,10,2026-05-18,6433.33,11794.77357624731,15333.205649121503,5361.4435762473095,8899.875649121503
2,Pineapple Cake,totalValue,11,2026-05-25,12292.720000000001,11794.77357624731,15333.205649121503,-497.94642375269177,3040.4856491215014
2,Pineapple Cake,totalValue,12,2026-06-01,8835.29,11794.77357624731,15333.205649121503,2959.4835762473085,6497.915649121502
2,Pineapple Cake,totalValue,13,2026-06-08,4648.54,11794.77357624731,15333.205649121503,7146.233576247309,10684.665649121504
2,Pineapple Cake,qty,1,2026-03-16,49.0,75.6121601840975,98.29580823932676,26.612160184097505,49.29580823932676
2,Pineapple Cake,qty,2,2026-03-23,48.0,75.6121601840975,98.29580823932676,27.612160184097505,50.29580823932676
