rank,product,metric,fold,cutoff,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
1,Choco Truffle Cake,totalValue,CV-0,2025-09-15,Prophet,12110.085788094855,14743.354058536468,24.297318289826126,633699.8600000001,722343.7870122944,13.98831412276062
1,Choco Truffle Cake,totalValue,CV-0,2025-09-15,AutoARIMA,10752.74037543029,13209.3159463307,21.69258836318316,633699.8600000001,732907.3475145841,15.655280011358052
1,Choco Truffle Cake,totalValue,CV-0,2025-09-15,AutoETS,9663.95052818943,11854.910885040714,20.190832405913746,633699.8600000001,640633.280735986,1.094117447964381
1,Choco Truffle Cake,totalValue,CV-0,2025-09-15,Croston,9669.623650763466,11851.82192537956,20.203168042362403,633699.8600000001,639674.5230209741,0.9428222093932644
1,Choco Truffle Cake,totalValue,CV-0,2025-09-15,LightGBM,11696.963392092019,13060.167479522357,24.341255473654737,633699.8600000001,648365.287830486,2.3142545479631096
2,Pineapple Cake,totalValue,CV-0,2025-09-15,Prophet,4560.98701529827,6621.406092477462,23.077655246089208,262827.65,290532.71829730115,10.541154363820217
2,Pineapple Cake,totalValue,CV-0,2025-09-15,AutoARIMA,4938.912098229276,6187.847893236928,26.125287205455777,262827.65,220861.27334776946,-15.967260922597209
2,Pineapple Cake,totalValue,CV-0,2025-09-15,AutoETS,3899.383680080965,5826.413143243607,20.33465097743187,262827.65,273438.09064456105,4.037033639558479
2,Pineapple Cake,totalValue,CV-0,2025-09-15,Croston,4045.1383764999814,5947.85908542115,20.96711355143817,262827.65,281648.9385428323,7.161076295752082
2,Pineapple Cake,totalValue,CV-0,2025-09-15,LightGBM,7954.568496781328,10567.025658078892,34.12012728042636,262827.65,358417.0844464427,36.36962642493767
3,Fresh Fruit Cake,totalValue,CV-0,2025-09-15,Prophet,3738.933270760207,4781.884580024579,23.869558283341323,209027.31,207451.30617673256,-0.7539702937704368
3,Fresh Fruit Cake,totalValue,CV-0,2025-09-15,AutoARIMA,3445.2868909471727,4376.2250057062765,22.035700705391566,209027.31,183156.21581928368,-12.376896674753322
3,Fresh Fruit Cake,totalValue,CV-0,2025-09-15,AutoETS,4230.399908141179,5265.445984573595,27.329959319850357,209027.31,174679.9891048281,-16.43197766606282
3,Fresh Fruit Cake,totalValue,CV-0,2025-09-15,Croston,4307.780216174753,5369.219762541222,27.888309208948176,209027.31,172064.5346932933,-17.683227759428515
3,Fresh Fruit Cake,totalValue,CV-0,2025-09-15,LightGBM,5801.4963611626445,6874.2760334364175,40.66394277109747,209027.31,146574.033171116,-29.878046475785393
4,Ferrero Rocher Cake,totalValue,CV-0,2025-09-15,Prophet,8976.099868665055,11088.231406015952,52.761507488414715,257155.63,150391.10387226852,-41.517475673284494
4,Ferrero Rocher Cake,totalValue,CV-0,2025-09-15,AutoARIMA,5917.093584089036,8215.943159345376,31.159223325615393,257155.63,210693.54797095503,-18.067689993427315
4,Ferrero Rocher Cake,totalValue,CV-0,2025-09-15,AutoETS,7120.699196585245,9507.871794173368,38.57686813994148,257155.63,183862.1784196771,-28.501593210431714
4,Ferrero Rocher Cake,totalValue,CV-0,2025-09-15,Croston,7466.581473736899,9812.378335232032,40.94127929560379,257155.63,177367.2778820516,-31.027262408351085
4,Ferrero Rocher Cake,totalValue,CV-0,2025-09-15,LightGBM,10768.45898342577,13044.897767069406,67.28522847250248,257155.63,140386.07381848656,-45.408127436880704
5,Belgium Choco Mousse Cake,totalValue,CV-0,2025-09-15,Prophet,5971.721153441258,6603.149801144173,40.5010422840185,179824.22,219482.797268762,22.054079961398966
5,Belgium Choco Mousse Cake,totalValue,CV-0,2025-09-15,AutoARIMA,4001.494947958881,5205.224622967631,29.62078182977319,179824.22,148253.11713440178,-17.556646632805204
5,Belgium Choco Mousse Cake,totalValue,CV-0,2025-09-15,AutoETS,4296.632897834728,5675.73329387935,31.89554303997823,179824.22,142514.98008864373,-20.747616706668474
5,Belgium Choco Mousse Cake,totalValue,CV-0,2025-09-15,Croston,4299.396423416072,5681.798000908918,31.918336825660514,179824.22,142359.30148089462,-20.83418936509519
5,Belgium Choco Mousse Cake,totalValue,CV-0,2025-09-15,LightGBM,4880.506135779887,5430.599861440553,38.39188070840589,179824.22,158976.00431375252,-11.593663904810754
6,Biscoff Jar Cake,totalValue,CV-0,2025-09-15,Prophet,4641.390613467408,5524.120239807816,76.25092417569778,105085.93000000002,87626.77625212389,-16.614168754919074
6,Biscoff Jar Cake,totalValue,CV-0,2025-09-15,AutoARIMA,1640.362494788273,2205.4968891136664,20.665598571160704,105085.93000000002,102387.27564934213,-2.5680453612180894
6,Biscoff Jar Cake,totalValue,CV-0,2025-09-15,AutoETS,1779.0784981392712,2368.6341413676723,22.493436615796416,105085.93000000002,94846.58256515705,-9.74378533343424
6,Biscoff Jar Cake,totalValue,CV-0,2025-09-15,Croston,1778.7776509380749,2368.1978454040923,22.48938844091155,105085.93000000002,94863.68899715514,-9.727506815465095
6,Biscoff Jar Cake,totalValue,CV-0,2025-09-15,LightGBM,2509.545680525787,3266.5475839958317,29.03118952208278,105085.93000000002,115306.63478198805,9.72604494434985
7,Dream Cake,totalValue,CV-0,2025-09-15,Prophet,2680.1260287942255,3677.135364841758,34.14946979401923,97743.73000000003,127577.1241243672,30.52205407381851
7,Dream Cake,totalValue,CV-0,2025-09-15,AutoARIMA,3182.524637331937,3753.4471134389364,48.70874124784852,97743.73000000003,62052.365143433635,-36.51524742974959
7,Dream Cake,totalValue,CV-0,2025-09-15,AutoETS,3173.1873377429483,3743.5930796089515,48.52862233214334,97743.73000000003,62227.698880160206,-36.33586637203206
7,Dream Cake,totalValue,CV-0,2025-09-15,Croston,3170.6353058404397,3740.9037606720676,48.47945109120678,97743.73000000003,62275.62036810731,-36.28683868713902
7,Dream Cake,totalValue,CV-0,2025-09-15,LightGBM,2577.1559508581313,3332.5028805430184,36.3790771489572,97743.73000000003,85828.39303386385,-12.190384964985657
8,Tiramisu Cake,totalValue,CV-0,2025-09-15,Prophet,3700.854444687912,5356.649542469803,32.75093852559887,146284.36,115270.27086313492,-21.201233772950893
8,Tiramisu Cake,totalValue,CV-0,2025-09-15,AutoARIMA,5489.98424667197,7213.106949059456,55.21444725758371,146284.36,76790.9669471777,-47.50568895596378
8,Tiramisu Cake,totalValue,CV-0,2025-09-15,AutoETS,3577.847214283929,5162.161155246698,31.40393332147567,146284.36,124271.71149092077,-15.047848251911015
8,Tiramisu Cake,totalValue,CV-0,2025-09-15,Croston,4119.447672624255,5815.851420050416,37.1848764100348,146284.36,104069.05666530022,-28.85838467946934
8,Tiramisu Cake,totalValue,CV-0,2025-09-15,LightGBM,3911.6213334145255,4420.063519521046,33.69561138882627,146284.36,158295.62620161046,8.210902520003147
9,Butterscotch Cake,totalValue,CV-0,2025-09-15,Prophet,1604.5662891213285,2093.39416901369,23.523898162498334,89482.51999999999,86504.9576990678,-3.3275351442183196
9,Butterscotch Cake,totalValue,CV-0,2025-09-15,AutoARIMA,1600.7809191495448,1919.2530933453552,23.99753959795325,89482.51999999999,92267.54810536644,3.112371114902052
9,Butterscotch Cake,totalValue,CV-0,2025-09-15,AutoETS,1555.6610128815894,1990.3880620209093,23.40543142726948,89482.51999999999,83563.56882301143,-6.614645158617077
9,Butterscotch Cake,totalValue,CV-0,2025-09-15,Croston,1610.7521884643293,2071.2353953778,24.27957634346306,89482.51999999999,79967.86004984278,-10.632981670785766
9,Butterscotch Cake,totalValue,CV-0,2025-09-15,LightGBM,4888.125915158367,5657.363741650911,52.776840872726524,89482.51999999999,148689.83188057903,66.16634386311321
10,Choco Vanilla Cake,totalValue,CV-0,2025-09-15,Prophet,1718.767654225889,1984.9741754348267,33.60954899823279,68191.25,73320.74114020851,7.5222130994937215
10,Choco Vanilla Cake,totalValue,CV-0,2025-09-15,AutoARIMA,1427.999640357571,1811.4572861540114,28.537052317614254,68191.25,69810.97640680986,2.3752701509502456
10,Choco Vanilla Cake,totalValue,CV-0,2025-09-15,AutoETS,1420.905655852329,1809.6001512615494,28.415201262069147,68191.25,69410.68583904358,1.7882585215017777
10,Choco Vanilla Cake,totalValue,CV-0,2025-09-15,Croston,1514.999050408297,1919.1452419780599,30.52424943141431,68191.25,59793.76609619956,-12.314606205048952
10,Choco Vanilla Cake,totalValue,CV-0,2025-09-15,LightGBM,2086.739771580822,2466.439393638626,37.38090098794793,68191.25,80155.96128233829,17.545816042876897
1,Choco Truffle Cake,totalValue,CV-1,2025-12-15,Prophet,10969.88856581329,12590.309744358754,27.012089498154683,480852.55,607557.3028723728,26.350022033235092
1,Choco Truffle Cake,totalValue,CV-1,2025-12-15,AutoARIMA,9023.219909683217,10494.38550067103,23.284315350651987,480852.55,570875.7851012711,18.72158837491267
1,Choco Truffle Cake,totalValue,CV-1,2025-12-15,AutoETS,10014.52203836947,11415.642002535818,25.424779953218824,480852.55,591074.2104076764,22.92213286748223
1,Choco Truffle Cake,totalValue,CV-1,2025-12-15,Croston,10082.437985839355,11475.38150907248,25.570343224758457,480852.55,592117.6463278957,23.1391299324285
1,Choco Truffle Cake,totalValue,CV-1,2025-12-15,LightGBM,9390.61646266204,11220.791481531283,23.47032495573308,480852.55,584664.6422587206,21.58917369965504
2,Pineapple Cake,totalValue,CV-1,2025-12-15,Prophet,13575.723551128422,14045.285682764452,72.4265242034805,158212.73,334697.13616466953,111.54880278260131
2,Pineapple Cake,totalValue,CV-1,2025-12-15,AutoARIMA,4445.7706173815095,5000.090429628284,32.88635895487871,158212.73,215485.55620024822,36.199884927242074
2,Pineapple Cake,totalValue,CV-1,2025-12-15,AutoETS,6797.7915743124895,7304.415897905766,45.50423512384407,158212.73,246584.02046606233,55.85599241354492
2,Pineapple Cake,totalValue,CV-1,2025-12-15,Croston,7062.278531188147,7551.178674476299,46.799287044315264,158212.73,250022.35090544587,58.029224895775364
2,Pineapple Cake,totalValue,CV-1,2025-12-15,LightGBM,14038.304175464855,14637.08101327729,73.76819656491158,158212.73,340710.6842810431,115.3497283569047
3,Fresh Fruit Cake,totalValue,CV-1,2025-12-15,Prophet,4659.628560347826,5654.4125889841125,45.19291560487039,123012.87000000001,174558.50850548234,41.90263872835609
3,Fresh Fruit Cake,totalValue,CV-1,2025-12-15,AutoARIMA,6788.12608481773,7663.863065839421,57.793285676538034,123012.87000000001,211258.50910263055,71.73691590370221
3,Fresh Fruit Cake,totalValue,CV-1,2025-12-15,AutoETS,7360.093022524812,8281.119613275123,61.31856655749303,123012.87000000001,218694.07929282257,77.78146245415016
3,Fresh Fruit Cake,totalValue,CV-1,2025-12-15,Croston,7195.682792702191,8135.344098582548,60.461431959731,123012.87000000001,216556.7463051285,76.04397515896383
3,Fresh Fruit Cake,totalValue,CV-1,2025-12-15,LightGBM,11675.664783757346,12747.83520851481,79.25718726223201,123012.87000000001,274796.51218884555,123.38842447041966
4,Ferrero Rocher Cake,totalValue,CV-1,2025-12-15,Prophet,5466.2125035818935,6287.098022930885,35.941142536195905,172087.13999999998,243147.90254656458,41.29347640187675
4,Ferrero Rocher Cake,totalValue,CV-1,2025-12-15,AutoARIMA,10371.847251825928,10719.646701916005,57.83197147364984,172087.13999999998,306921.15427373705,78.35217336620103
4,Ferrero Rocher Cake,totalValue,CV-1,2025-12-15,AutoETS,13617.777415689505,13885.079364704616,69.28603911562541,172087.13999999998,349118.24640396354,102.87294355868983
4,Ferrero Rocher Cake,totalValue,CV-1,2025-12-15,Croston,8092.447049615898,8550.720333628724,48.548331784501414,172087.13999999998,277288.9516450067,61.13287236048362
4,Ferrero Rocher Cake,totalValue,CV-1,2025-12-15,LightGBM,11255.383224668105,12425.78004029487,59.08095128102626,172087.13999999998,318407.1219206854,85.02668004168437
5,Belgium Choco Mousse Cake,totalValue,CV-1,2025-12-15,Prophet,6468.080913362422,7110.148450424479,57.1798839882578,108662.20999999999,192747.26187371145,77.38205570612955
5,Belgium Choco Mousse Cake,totalValue,CV-1,2025-12-15,AutoARIMA,4226.674469503486,4745.283393572657,43.03373690967235,108662.20999999999,162015.82766197104,49.10043488161252
5,Belgium Choco Mousse Cake,totalValue,CV-1,2025-12-15,AutoETS,5007.83180544099,5392.410319130441,49.18216314822364,108662.20999999999,170587.96591995706,56.989229208532635
5,Belgium Choco Mousse Cake,totalValue,CV-1,2025-12-15,Croston,5020.629296915624,5405.775399826421,49.271203802661574,108662.20999999999,170784.58192534,57.170171603669765
5,Belgium Choco Mousse Cake,totalValue,CV-1,2025-12-15,LightGBM,5456.885744340202,6183.845735715281,49.84469957224895,108662.20999999999,177175.17104464732,63.05132303553124
6,Biscoff Jar Cake,totalValue,CV-1,2025-12-15,Prophet,1767.6610254294496,2336.534890347552,33.98075063928059,70045.23000000001,48838.51636002821,-30.275742745040308
6,Biscoff Jar Cake,totalValue,CV-1,2025-12-15,AutoARIMA,1611.7418162395686,1783.9435660189279,30.079748036753717,70045.23000000001,72076.01479519584,2.8992478077319817
6,Biscoff Jar Cake,totalValue,CV-1,2025-12-15,AutoETS,2112.9265967221045,2468.560940584175,37.08653991625618,70045.23000000001,92133.4118214011,31.534169880520174
6,Biscoff Jar Cake,totalValue,CV-1,2025-12-15,Croston,2023.5845739296888,2344.7352079969,35.9321947455142,70045.23000000001,89691.4445988235,28.04789790657191
6,Biscoff Jar Cake,totalValue,CV-1,2025-12-15,LightGBM,1847.4248008691027,2211.614081133296,33.36832438235919,70045.23000000001,83420.90823031505,19.09577316016385
7,Dream Cake,totalValue,CV-1,2025-12-15,Prophet,2703.790410718743,3216.6266907682757,38.91582871405789,87783.03,101251.28150060725,15.342659624083666
7,Dream Cake,totalValue,CV-1,2025-12-15,AutoARIMA,1966.403507410017,2224.276723018113,29.517076464920034,87783.03,86202.16275229288,-1.8008802472495231
7,Dream Cake,totalValue,CV-1,2025-12-15,AutoETS,1968.7044605046053,2222.8420296723643,29.549283746361084,87783.03,86591.02382527826,-1.357900467461354
7,Dream Cake,totalValue,CV-1,2025-12-15,Croston,1969.2353282990057,2222.5680464688003,29.556653357888095,87783.03,86680.74048253201,-1.2556977327713421
7,Dream Cake,totalValue,CV-1,2025-12-15,LightGBM,2044.5713565184592,2288.911228797457,31.265626335690722,87783.03,80043.87041964839,-8.816236555461359
8,Tiramisu Cake,totalValue,CV-1,2025-12-15,Prophet,6121.712464461501,6315.31535554991,72.02047921740638,71817.66,151399.92203799952,110.8115497469557
8,Tiramisu Cake,totalValue,CV-1,2025-12-15,AutoARIMA,6441.7023242965615,6568.2683355633035,74.64140903216528,71817.66,155559.7902158553,116.6038133459866
8,Tiramisu Cake,totalValue,CV-1,2025-12-15,AutoETS,6376.09757542025,6509.263652348601,74.14758481401932,71817.66,154706.92848046325,115.41627571890152
8,Tiramisu Cake,totalValue,CV-1,2025-12-15,Croston,5052.375886653184,5172.907291204615,64.01650040798242,71817.66,137498.5465264914,91.45506345722126
8,Tiramisu Cake,totalValue,CV-1,2025-12-15,LightGBM,5706.477454754695,6024.167514739062,68.31027794208512,71817.66,146001.86691181103,103.29521584497603
9,Butterscotch Cake,totalValue,CV-1,2025-12-15,Prophet,1320.0405013082197,1663.472909483559,23.893388456677464,70144.61,77861.27155491132,11.00107557075493
9,Butterscotch Cake,totalValue,CV-1,2025-12-15,AutoARIMA,2550.4350806280545,2756.496956535582,40.98627405452919,70144.61,98199.19416585425,39.99535269474625
9,Butterscotch Cake,totalValue,CV-1,2025-12-15,AutoETS,1921.4841030398534,2200.1630711753382,33.09019384019334,70144.61,90923.8239467032,29.623393653059292
9,Butterscotch Cake,totalValue,CV-1,2025-12-15,Croston,1871.7941621696725,2157.8775623928855,32.4074461248688,70144.61,90160.40576424316,28.535044623162285
9,Butterscotch Cake,totalValue,CV-1,2025-12-15,LightGBM,1512.1501937578262,1888.6816351379707,26.481130103583116,70144.61,84162.02845519078,19.983600244111106
10,Choco Vanilla Cake,totalValue,CV-1,2025-12-15,Prophet,1090.788251983477,1432.887923158978,29.345865314989727,43652.65000000001,50281.413158935815,15.18524799510638
10,Choco Vanilla Cake,totalValue,CV-1,2025-12-15,AutoARIMA,2311.824770010309,2506.6195234659326,55.70984478876616,43652.65000000001,71557.5923756129,63.92496761505405
10,Choco Vanilla Cake,totalValue,CV-1,2025-12-15,AutoETS,2309.2522432723426,2504.0165016116,55.668246414934494,43652.65000000001,71518.06901027508,63.83442702854252
10,Choco Vanilla Cake,totalValue,CV-1,2025-12-15,Croston,2137.1248832643496,2326.108331274524,52.825316628408125,43652.65000000001,68777.4728079639,57.556237268445074
10,Choco Vanilla Cake,totalValue,CV-1,2025-12-15,LightGBM,2603.77244897009,2891.3217084234866,59.542047695705456,43652.65000000001,77147.09546950011,76.7294665260874
1,Choco Truffle Cake,totalValue,EVAL,2026-03-16,Prophet,22470.679698183998,23854.576120659847,60.37644713512018,353468.85,645587.6860763918,82.64344540583757
1,Choco Truffle Cake,totalValue,EVAL,2026-03-16,AutoARIMA,8689.111619147057,10483.557111688628,30.54662023623007,353468.85,464265.81271710055,31.345608733867376
1,Choco Truffle Cake,totalValue,EVAL,2026-03-16,AutoETS,8794.671435698121,10927.496061686428,31.05142525856562,353468.85,458837.04918144236,29.809755281531142
1,Choco Truffle Cake,totalValue,EVAL,2026-03-16,Croston,8854.395034992996,10991.635438054562,31.210511518952455,353468.85,459958.52565709065,30.127032596250185
1,Choco Truffle Cake,totalValue,EVAL,2026-03-16,LightGBM,12295.98392672483,14303.991790264576,38.62631703476627,353468.85,500833.1831588269,41.6908967109342
2,Pineapple Cake,totalValue,EVAL,2026-03-16,Prophet,15400.281562645063,15803.493573128962,92.63402732768017,118198.64,318402.3003143858,169.37898804452044
2,Pineapple Cake,totalValue,EVAL,2026-03-16,AutoARIMA,2814.3213505258586,3407.1802812094047,29.81608696459678,118198.64,148740.8026801218,25.839690439857677
2,Pineapple Cake,totalValue,EVAL,2026-03-16,AutoETS,3059.2069752661005,3600.261701140744,32.03924245830771,118198.64,152083.4541171387,28.66768527720682
2,Pineapple Cake,totalValue,EVAL,2026-03-16,Croston,3110.924233363936,3670.39553848928,32.44763436050479,118198.64,153332.056491215,29.724044617784926
2,Pineapple Cake,totalValue,EVAL,2026-03-16,LightGBM,2542.087876112611,3255.273025185509,27.063418657759016,118198.64,135306.64289850148,14.473942253905358
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,Prophet,4397.694169743884,4912.100409187873,40.48068504316316,117903.69,175073.7142066705,48.48874891589101
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,AutoARIMA,6321.449338863166,6572.893925241083,53.045733195054304,117903.69,200082.53140522112,69.69997411041258
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,AutoETS,2874.990170838594,3421.2635658657323,29.17524418214621,117903.69,155278.5622209017,31.699493222732627
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,Croston,2715.2424681342227,3288.16325103566,27.870488587439908,117903.69,153201.8420857449,29.93812329855401
3,Fresh Fruit Cake,totalValue,EVAL,2026-03-16,LightGBM,1543.3424102542367,2328.712112675299,17.02471304438372,117903.69,126175.63511042544,7.0158492159367025
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,Prophet,4243.745181213106,5337.097823306849,32.73847396779293,175205.99999999997,201086.60404560532,14.771528398345577
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,AutoARIMA,3922.2996039426002,5141.284831686295,30.936299846305953,175205.99999999997,172977.45455941488,-1.2719572620715562
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,AutoETS,3846.6583028481527,5270.080960768804,30.249055114632924,175205.99999999997,171745.36681866198,-1.975179606484935
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,Croston,3832.6659605233485,5264.028531322875,30.11428405588824,175205.99999999997,174110.07267155396,-0.6255078755556357
4,Ferrero Rocher Cake,totalValue,EVAL,2026-03-16,LightGBM,5674.4977911475535,7135.997718029257,47.635921922478474,175205.99999999997,121213.43483759896,-30.816618815794563
5,Belgium Choco Mousse Cake,totalValue,EVAL,2026-03-16,Prophet,4173.195239931354,4393.100256441867,67.99120853903612,59413.79,113665.32811910761,91.31135737866177
5,Belgium Choco Mousse Cake,totalValue,EVAL,2026-03-16,AutoARIMA,3263.5893401038584,3725.0520751902127,63.614607865789175,59413.79,87278.63789679315,46.89963036660875
5,Belgium Choco Mousse Cake,totalValue,EVAL,2026-03-16,AutoETS,2824.997594147991,3346.5784358656692,53.46392158177562,59413.79,96138.75872392388,61.81219667003886
