rank,product,metric,best_single,best_single_sMAPE,best_single_SumErr,selector_sMAPE,selector_SumErr,chosen_model,delta_sMAPE
1,Choco Truffle Cake,qty,AutoARIMA,29.97704412390244,29.47594248668151,29.97704412390244,29.47594248668151,AutoARIMA,0.0
1,Choco Truffle Cake,totalValue,AutoARIMA,30.54662023623007,31.345608733867376,30.54662023623007,31.345608733867376,AutoARIMA,0.0
2,Pineapple Cake,qty,AutoETS,36.08994863399634,35.6863838611666,36.39512287187068,36.33260504760996,Croston,0.30517423787433984
2,Pineapple Cake,totalValue,LightGBM,27.063418657759016,14.473942253905358,29.81608696459678,25.839690439857677,AutoARIMA,2.7526683068377658
3,Fresh Fruit Cake,qty,AutoARIMA,22.986539572134078,20.13894310812802,26.003212968816204,22.56499085105908,Prophet,3.016673396682126
3,Fresh Fruit Cake,totalValue,LightGBM,17.02471304438372,7.0158492159367025,40.48068504316316,48.48874891589101,Prophet,23.455971998779443
4,Ferrero Rocher Cake,qty,Prophet,29.81400228939592,11.364512389262012,31.007063195346134,-4.967582656348883,LightGBM,1.1930609059502153
4,Ferrero Rocher Cake,totalValue,Croston,30.11428405588824,-0.6255078755556357,32.73847396779293,14.771528398345577,Prophet,2.6241899119046863
5,Belgium Choco Mousse Cake,qty,Croston,46.541086103683476,43.48317220947525,66.4774351877392,86.89817836547046,Prophet,19.936349084055728
5,Belgium Choco Mousse Cake,totalValue,AutoETS,53.46392158177562,61.81219667003886,63.614607865789175,46.89963036660875,AutoARIMA,10.150686284013553
6,Biscoff Jar Cake,qty,AutoARIMA,32.97418301517198,16.08125798737961,35.36999573253191,24.619019132428598,LightGBM,2.395812717359931
6,Biscoff Jar Cake,totalValue,AutoARIMA,26.749739580470255,17.162089184275665,26.749739580470255,17.162089184275665,AutoARIMA,0.0
7,Dream Cake,qty,Prophet,27.338531715687157,0.9463812448457766,27.338531715687157,0.9463812448457766,Prophet,0.0
7,Dream Cake,totalValue,Prophet,27.35072343804992,11.698386027071905,32.20178703194387,18.499031169329456,LightGBM,4.851063593893954
8,Tiramisu Cake,qty,AutoARIMA,34.21738086127316,11.92195057322408,39.71854296519856,15.09132221812851,LightGBM,5.501162103925395
8,Tiramisu Cake,totalValue,AutoETS,35.562054760478205,14.43340357373486,35.61728593643216,14.613168284606278,Croston,0.055231175953956324
9,Butterscotch Cake,qty,Prophet,70.90616934025628,93.4380228512364,83.98233405503272,128.38110823708328,Croston,13.07616471477644
9,Butterscotch Cake,totalValue,Croston,71.89197702377678,92.89158377898846,89.2500044605001,141.70706232570623,Prophet,17.35802743672332
10,Choco Vanilla Cake,qty,Croston,31.95155590785999,18.629510819493284,54.69291264374721,4.5668109138897375,AutoARIMA,22.741356735887223
10,Choco Vanilla Cake,totalValue,LightGBM,25.26753674581669,7.160414564506929,59.06250698764373,81.25285988723208,Prophet,33.79497024182704
