rank,product,metric,croston_sMAPE,croston_SumErr,selector_sMAPE,selector_SumErr,chosen_model,reason,delta_sMAPE,delta_absSumErr
1,Choco Truffle Cake,totalValue,31.210511518952455,30.127032596250185,31.210511518952455,30.127032596250185,Croston,gate (1.2pp < 5.0),0.0,0.0
2,Pineapple Cake,totalValue,32.44763436050479,29.724044617784926,29.81608696459678,25.839690439857677,AutoARIMA,beats Croston by 6.6pp,-2.6315473959080116,-3.88435417792725
3,Fresh Fruit Cake,totalValue,27.870488587439908,29.93812329855401,40.48068504316316,48.48874891589101,Prophet,beats Croston by 8.7pp,12.610196455723255,18.550625617336998
4,Ferrero Rocher Cake,totalValue,30.11428405588824,-0.6255078755556357,32.73847396779293,14.771528398345577,Prophet,beats Croston by 8.9pp,2.6241899119046863,14.146020522789941
5,Belgium Choco Mousse Cake,totalValue,53.61465690515884,62.08857560434776,53.61465690515884,62.08857560434776,Croston,gate (3.5pp < 5.0),0.0,0.0
6,Biscoff Jar Cake,totalValue,31.30598923562524,14.11360230383357,31.30598923562524,14.11360230383357,Croston,gate (3.2pp < 5.0),0.0,0.0
7,Dream Cake,totalValue,39.05884850333903,42.2130095985434,39.05884850333903,42.2130095985434,Croston,gate (0.3pp < 5.0),0.0,0.0
8,Tiramisu Cake,totalValue,35.61728593643216,14.613168284606278,35.61728593643216,14.613168284606278,Croston,gate (0.0pp < 5.0),0.0,0.0
9,Butterscotch Cake,totalValue,71.89197702377678,92.89158377898846,71.89197702377678,92.89158377898846,Croston,gate (0.4pp < 5.0),0.0,0.0
10,Choco Vanilla Cake,totalValue,41.42167744761857,38.576438428459774,59.06250698764373,81.25285988723208,Prophet,beats Croston by 6.4pp,17.64082954002516,42.6764214587723
1,Choco Truffle Cake,qty,32.47808652893754,33.849013916032646,32.47808652893754,33.849013916032646,Croston,gate (1.5pp < 5.0),0.0,0.0
2,Pineapple Cake,qty,36.39512287187068,36.33260504760996,36.39512287187068,36.33260504760996,Croston,gate (1.5pp < 5.0),0.0,0.0
3,Fresh Fruit Cake,qty,31.247600171813282,34.61334600472389,26.003212968816204,22.56499085105908,Prophet,beats Croston by 12.6pp,-5.244387202997078,-12.048355153664808
4,Ferrero Rocher Cake,qty,29.87788395190084,-5.064466208649031,29.81400228939592,11.364512389262012,Prophet,beats Croston by 5.1pp,-0.06388166250492233,6.3000461806129815
5,Belgium Choco Mousse Cake,qty,46.541086103683476,43.48317220947525,46.541086103683476,43.48317220947525,Croston,gate (4.9pp < 5.0),0.0,0.0
6,Biscoff Jar Cake,qty,33.05627349780689,16.63892068689291,33.05627349780689,16.63892068689291,Croston,gate (0.7pp < 5.0),0.0,0.0
7,Dream Cake,qty,29.44015411832051,26.44871071423558,29.44015411832051,26.44871071423558,Croston,gate (2.1pp < 5.0),0.0,0.0
8,Tiramisu Cake,qty,34.32613836711679,12.264319450997435,34.32613836711679,12.264319450997435,Croston,gate (3.1pp < 5.0),0.0,0.0
9,Butterscotch Cake,qty,83.98233405503272,128.38110823708328,83.98233405503272,128.38110823708328,Croston,gate (0.0pp < 5.0),0.0,0.0
10,Choco Vanilla Cake,qty,31.95155590785999,18.629510819493284,54.69291264374721,4.5668109138897375,AutoARIMA,beats Croston by 6.4pp,22.741356735887223,-14.062699905603546
