ds,yhat,yhat_lower,yhat_upper
2024-01-01,2086.9466297096596,-4996.55308080772,8299.701504582665
2024-01-02,2399.9168583211394,-4568.517509276267,9254.21552570627
2024-01-03,2353.274113470073,-4030.7571067369026,9328.748894417071
2024-01-04,1815.9692595085544,-5553.562137044156,8426.308197386032
2024-01-05,1402.134187808212,-6105.3873742010055,8360.368119719922
2024-01-06,1541.8961154214649,-5195.03671522937,8954.370490115356
2024-01-07,1228.9941669177015,-5990.662778058917,8303.52931294331
2024-01-08,1167.5462375667398,-5952.45827249915,8731.075452770541
2024-01-09,1498.1462929772642,-5277.901101423446,8651.479071918855
2024-01-10,1481.8519798788047,-5607.011409520886,7920.437216501076
2024-01-11,987.0445792766191,-5908.1888357258385,8063.325191675084
2024-01-12,627.0459482296847,-6058.782490225204,7981.751836836073
2024-01-13,830.952124882097,-5968.632931458432,7792.782626125434
2024-01-14,591.2743916398549,-6004.8266764389655,7211.205311878042
2024-01-15,610.7351236910242,-6489.369870206586,7254.702098724446
2024-01-16,1028.3977925178983,-5903.839051541706,8265.2736877131
2024-01-17,1103.6901220714697,-5852.880895016966,8561.197931688155
2024-01-18,703.3014856310717,-6170.141225671034,7664.322986217291
2024-01-19,438.8382071874953,-6077.009199702434,7979.971222201532
2024-01-20,737.6954481521848,-6770.512206115952,7302.439644457568
2024-01-21,590.7354968634397,-6086.156686536596,7119.627917742262
2024-01-22,699.1188540744631,-6263.610652641178,7680.074303598483
2024-01-23,1200.4666188954698,-5250.288813032735,8145.151189743799
2024-01-24,1352.9123996598921,-5365.127672249937,8385.424077386944
2024-01-25,1022.0241766686381,-5699.521527905342,7883.9109218341655
2024-01-26,2127.443692647492,-4548.122597367386,8828.666546578095
2024-01-27,1168.9505512994604,-5608.866303483573,8523.017782983516
2024-01-28,1063.793929640071,-6043.106776314264,7479.158161095664
2024-01-29,1203.8826621937746,-5663.270917593092,7845.474589824169
2024-01-30,1726.7678163331066,-5709.010183653396,8123.983007231563
2024-01-31,1890.7228652374895,-5051.010894366836,8730.184890305334
2024-02-01,1561.6533691521936,-5154.091919079494,8788.740945574596
2024-02-02,1350.7552925731634,-5591.892423817066,8235.608360819419
2024-02-03,1685.3808769577313,-5770.943821052618,8326.757066888877
2024-02-04,1556.7023053246098,-5445.1116945109625,8478.369696548374
2024-02-05,1666.5202169813779,-5276.155401720467,8693.858469534727
2024-02-06,2153.3964361466265,-5158.674740932583,8647.687073846408
2024-02-07,2276.6701672933505,-4280.814567410985,8499.09356203193
2024-02-08,1903.339248094174,-4988.260478951171,9052.135816392683
2024-02-09,1645.6908540599966,-5861.501585006389,8175.450481913597
2024-02-10,1932.1412672371189,-4580.3485286426185,8529.442996767943
2024-02-11,1754.8756276828215,-4874.479484334014,9618.699704870452
2024-02-12,1816.6352964071593,-5640.764130505288,8497.483979889219
2024-02-13,2256.8326651828293,-4759.09423492462,9243.890297693857
2024-02-14,2335.553023666767,-4351.164277293053,8955.633731444657
2024-02-15,1920.4253107454203,-5072.372572585678,8599.032365076655
2024-02-16,1624.246255062409,-5461.118788370129,8869.232063652875
2024-02-17,1875.817503204515,-5198.722586360269,8446.581497345884
2024-02-18,1667.5865199003279,-5934.3861301876805,8313.79263618989
2024-02-19,1702.4386419920063,-5018.09936454222,8548.850911058522
2024-02-20,2119.81977352257,-4529.9733140628105,9084.546916147434
2024-02-21,2179.7488974201765,-4403.339075688738,9575.67274580778
2024-02-22,1749.7017255485484,-5500.443868081024,8879.620676135051
2024-02-23,1442.249435520081,-5512.8153024769,8549.249043064508
2024-02-24,1685.911504386348,-4494.002213102627,9357.351862281335
2024-02-25,1472.8128240813785,-6059.365272543373,8489.992359604572
2024-02-26,1505.491889943041,-5004.845658801101,8013.394912905396
2024-02-27,1923.038987968553,-4769.549454508107,8586.19378424536
2024-02-28,1985.1230413332678,-4762.292158950431,8899.082018719711
2024-02-29,1558.887987055757,-5263.975919906076,8527.773429561734
2024-03-01,1256.6022550696823,-5354.232053389687,8343.539644018834
2024-03-02,1506.5200743968176,-5794.032662494331,7767.229306769314
2024-03-03,1300.544599252295,-6126.948950831085,8146.235590737744
2024-03-04,1341.0395549328052,-5269.584752356642,8108.105032383167
2024-03-05,1766.9683380399065,-4872.956459859075,8353.10156067621
2024-03-06,1837.9193382603746,-5237.027175622466,8625.163653034093
2024-03-07,1420.998549931507,-6286.85605325074,8291.63052607516
2024-03-08,-3190.0626481397703,-9714.156468959127,3514.992981855668
2024-03-09,1388.6263573485026,-5837.721670286631,8036.297851071526
2024-03-10,1193.410249091364,-5654.82553482408,7972.199437566827
2024-03-11,1245.249885520607,-5776.145710886197,7835.673078494704
2024-03-12,1683.1719389786422,-5233.803165883149,8220.416928135797
2024-03-13,1766.8207887356527,-5427.625302363688,8620.014963193282
2024-03-14,1363.3423651769306,-5767.49079021445,8460.132932391727
2024-03-15,1085.0201988977924,-5671.083327342276,8085.969184980091
2024-03-16,1360.1231242260358,-5325.194147965799,8394.277914953453
2024-03-17,1180.5553496041837,-5846.866894163192,7918.42657661643
