ds,yhat,yhat_lower,yhat_upper
2024-01-01,-408.9768678144721,-3365.3700065432745,2516.2010046242585
2024-01-02,-244.10333064343436,-3197.860510898111,2972.8015227749665
2024-01-03,9.052332143408933,-2902.3781195577526,3198.9511832103917
2024-01-04,-441.8838502291775,-3601.662834446755,2631.8194892891433
2024-01-05,-363.60125014794494,-3300.770812488205,2764.6022919151756
2024-01-06,-394.2551170241909,-3356.1241308497865,2706.99415060426
2024-01-07,-394.12129143013055,-3532.138022590939,2777.4130256843086
2024-01-08,-319.89799266540285,-3271.8439970632235,2848.4499036960874
2024-01-09,-169.2403552793821,-3294.463801987657,2771.570212577772
2024-01-10,69.34156384188795,-3004.1683601981103,3146.367400086226
2024-01-11,-395.93444822589186,-3508.0732844693966,2640.7073191487634
2024-01-12,-331.17920129041545,-3517.9383311448714,2588.6990311746954
2024-01-13,-373.99932200874446,-3368.8020580501106,2587.3676537784454
2024-01-14,-384.16773856712837,-3377.813875979476,2723.933534939533
2024-01-15,-317.9398322421828,-3321.365779336596,2727.551286512065
2024-01-16,-172.60054163579537,-3265.182579396884,3002.1268997484376
2024-01-17,63.627195125691756,-2912.690273342526,3114.575542572363
2024-01-18,-400.842821755868,-3572.7469841260267,2628.2909219434246
2024-01-19,-332.021911711954,-3446.093050994897,2529.893763345365
2024-01-20,-367.51640936820377,-3333.6705431024316,2630.936410210433
2024-01-21,-367.19803054525937,-3417.0525438263894,2740.0501308729135
2024-01-22,-287.5171363274053,-3384.3805648467333,2683.9522528169005
2024-01-23,-126.04428323767377,-3328.7232066566025,3219.1815503412677
2024-01-24,128.62937978942102,-3139.047975146811,3101.0007021095516
2024-01-25,-315.5228574299383,-3154.680670217206,2601.1088096565036
2024-01-26,278.9288699517608,-2998.132769457633,3226.5372003871007
2024-01-27,-237.99384530953645,-2880.0063945596535,2952.9352006492286
2024-01-28,-214.91546389703538,-3393.0748945269743,3076.3899123656365
2024-01-29,-112.82152936202218,-3355.335178955165,2859.470198365753
2024-01-30,70.12468661136674,-2963.5508830077033,3160.063155240403
2024-01-31,344.75603870319776,-2855.411014040501,3387.728929442717
2024-02-01,-81.49800693979137,-3219.415889165352,3058.1885559462107
2024-02-02,24.35348565462911,-2993.754447759348,3188.8159001715685
2024-02-03,23.719974598079716,-3040.7272278475516,3092.7268043075587
2024-02-04,55.785511451516896,-2980.7328168267395,3060.426666648956
2024-02-05,163.22068582704554,-2970.7043940809936,3315.4796011357876
2024-02-06,347.66437824378,-2621.2920266753845,3383.318094967763
2024-02-07,619.8441433258938,-2547.576720944371,3472.630174268744
2024-02-08,187.17895749223743,-2794.650095768474,3253.0674445938766
2024-02-09,282.74380161056945,-2616.121330234056,3297.298455618165
2024-02-10,268.1239340705703,-2622.520791268983,3510.7606802909077
2024-02-11,282.7657882244907,-2882.928749960111,3202.7208984383597
2024-02-12,369.68151974867374,-2908.5263852769945,3491.138178867487
2024-02-13,530.9213694707468,-2499.70510059072,3894.0148467704416
2024-02-14,777.682946044614,-2383.836808656914,3920.121486484298
2024-02-15,317.90148793809203,-2681.3801736040164,3444.427327225829
2024-02-16,385.20093393644,-2595.3267926126027,3467.129590013472
2024-02-17,341.7340391195925,-2693.678168415813,3434.5966678777068
2024-02-18,327.518863593128,-2923.1412859497336,3249.9488095168567
2024-02-19,386.12905342122735,-2737.8954921600025,3486.357357731757
2024-02-20,520.152462763882,-2353.813655077569,3670.4510657961987
2024-02-21,741.28758398537,-2355.982988219385,3674.0498523056867
2024-02-22,257.92217667453673,-2739.821242885105,3342.3352966222656
2024-02-23,304.07421658207426,-2785.399159916216,3367.6145866472625
2024-02-24,242.2236459486237,-2983.765718825411,3475.118048518249
2024-02-25,212.64244372322952,-2939.4446145037437,3247.607413833966
2024-02-26,259.0805685716207,-2735.175217510545,3295.1777408702533
2024-02-27,384.22239659278443,-2817.091581202557,3560.4777732930834
2024-02-28,599.783132614983,-2377.6533413704738,3775.6309114400337
2024-02-29,114.08953376378219,-3221.983797310331,3267.517588918285
2024-03-01,161.02496522586213,-2796.324466575181,3086.5624835351227
2024-03-02,102.86710233956416,-2935.0117863865603,3104.8648000805183
2024-03-03,79.62559119411486,-2937.4310832729448,3021.4932144235527
2024-03-04,134.73696924366533,-2995.527444859963,3267.130172752791
2024-03-05,270.53118380636204,-2978.1842700084244,3403.378418167306
2024-03-06,498.33887814361753,-2729.9656245824362,3506.225619656616
2024-03-07,26.08346321161099,-2763.261616062147,3224.675096251259
2024-03-08,-1343.624732808058,-4499.662554124044,1872.271797195232
2024-03-09,43.672505384476665,-3231.7181551931303,3128.116314533072
2024-03-10,35.00582582403899,-3066.4428672573395,3146.3892980523137
2024-03-11,104.30717996083433,-3049.1061132975487,3149.404587338097
2024-03-12,253.57336000018336,-2763.6539629925387,3261.179705395642
2024-03-13,493.84339196109903,-2898.9428936334307,3647.016637065729
2024-03-14,32.79687506514608,-3296.022751813413,3094.168753312501
2024-03-15,103.7152110919302,-2944.6730225196848,3124.388547204585
2024-03-16,68.33363509384668,-2817.1739981286387,3216.087670299766
2024-03-17,66.1910118104094,-2981.2233941521354,3117.0352748086284
2024-03-18,140.33442784074504,-2648.618566255521,3193.199801261416
2024-03-19,292.79272407787704,-2700.7269511368736,3446.8280613895895
2024-03-20,534.6880271784898,-2583.362051162587,3710.084590087759
2024-03-21,73.82927075216855,-2987.2225851272456,3133.909827098026
2024-03-22,143.66744558277833,-2990.7341918735,3128.3885996465683
2024-03-23,106.1407072513087,-3200.191598157635,3002.9677970747407
2024-03-24,101.01654398962592,-3028.4986338663957,3193.843391647154
2024-03-25,171.58828701567535,-2981.0010119925537,3169.4998799174623
2024-03-26,320.14036578878586,-2734.488561727743,3568.982930412834
2024-03-27,558.0516224893548,-2393.6586670650613,3782.0617515501276
2024-03-28,93.38092276836477,-3191.4633866293725,2874.2434427780026
2024-03-29,1656.1329064386523,-1277.2517238721025,4739.225603118862
2024-03-30,119.50705494203862,-2854.9300539351025,3090.2510531125417
2024-03-31,112.41293728515836,-3030.932115897138,3226.142822542574
2024-04-01,181.9832396263759,-2905.2357665284353,3241.774090434927
2024-04-02,330.6249043574069,-2698.9763742469563,3357.420244410287
2024-04-03,569.8022627482216,-2479.508290433695,3576.6011840203837
2024-04-04,107.62158371769675,-2813.3582038691975,3046.4688615077253
2024-04-05,177.7791073467596,-2899.9225120613514,3342.2600168432396
2024-04-06,142.40083891397893,-3055.1079785783004,3134.283692959177
2024-04-07,141.38138855482651,-3090.71135578744,3137.7797147595516
2024-04-08,218.0791552180853,-3003.575729093667,3321.7919569994115
2024-04-09,374.7822094677371,-2645.4176555452445,3523.480858508737
2024-04-10,622.8140808105818,-2530.3565039998507,3574.960605669943
2024-04-11,872.6379615480545,-1973.7438555460749,4324.170480001377
2024-04-12,250.23800303763784,-2700.7190769266126,3447.8773734779884
2024-04-13,225.10902232979538,-2905.958612095259,3404.3570321818993
2024-04-14,234.45631795790985,-2900.3709879723624,3473.369287086846
2024-04-15,321.46811115907497,-2760.639593085527,3463.727963110318
2024-04-16,488.2715682958251,-2426.7339144227535,3703.939683425056
2024-04-17,746.0425508202173,-2314.144297691971,3680.2046516337973
2024-04-18,302.59861330653234,-2633.411867504979,3388.2065641291847
2024-04-19,391.3549229810028,-2654.4017483686544,3435.6166235020055
2024-04-20,374.1711316376798,-2666.349238754949,3373.6286157851155
2024-04-21,613.0451063566405,-2653.292211811519,3679.612505207566
2024-04-22,484.0688629329683,-2592.967014955237,3606.626655384721
2024-04-23,656.3863241615618,-2380.145344941589,3608.069601837631
2024-04-24,918.8130821902246,-2202.8225756936527,4143.5988151526635
2024-04-25,479.1711952182226,-2547.394015086522,3517.222516208217
2024-04-26,570.893443449393,-2400.545511959915,3721.6167845110576
2024-04-27,555.8670019024156,-2661.7647554448413,3631.6802062900515
2024-04-28,573.7749456623088,-2406.364315863982,3581.773501241057
2024-04-29,667.7928798606181,-2523.5976713703003,3708.613827981829
2024-04-30,840.0550971043589,-2225.5911996433165,3967.568165539918
2024-05-01,1101.759560662585,-1942.870960060991,4189.800306299125
2024-05-02,660.7559187279355,-2529.207352955415,3709.0067792200234
2024-05-03,750.4964723189654,-2304.0942860938376,3859.343872810997
2024-05-04,732.8783714155495,-2353.7437342617227,3961.8251890752763
2024-05-05,747.584346985178,-2171.206045772168,3845.5340270346874
2024-05-06,837.7793213366972,-2173.86217306961,4022.1641249462764
2024-05-07,1005.577312800029,-1971.7368575162484,4059.265522900684
2024-05-08,1262.1479155633394,-1709.387723955843,4185.669804907865
2024-05-09,815.3065111468359,-2352.228411392224,3928.24630046112
2024-05-10,898.4680552789766,-2053.6035504849033,3914.0916700098146
2024-05-11,873.49260865857,-2345.945636069909,4129.204498599829
2024-05-12,880.02978934141,-2275.444410165703,4139.744826258618
2024-05-13,961.2193398965338,-2165.006741323498,3822.841476051023
2024-05-14,1119.1620619016614,-2052.869572674152,4143.836926971932
2024-05-15,1365.0302267847749,-1575.980474581661,4617.047242555929
2024-05-16,906.6614453365754,-1984.8776691663131,3991.2123137918607
2024-05-17,977.5156696310426,-1981.775134709881,4229.026330678123
2024-05-18,939.5233360871786,-2056.5463977189993,3810.7608966484127
2024-05-19,932.4316839963956,-2024.925516604285,4034.006694637947
2024-05-20,999.5063211988631,-2021.310094694265,3918.8190302563003
2024-05-21,1143.0021948506212,-1807.1433927177065,4228.980682754201
2024-05-22,1374.273012564694,-1981.7964420872406,4362.445485073583
2024-05-23,2079.678725213694,-1096.0815537392232,5082.828257065317
