ds,yhat,yhat_lower,yhat_upper
2024-06-13,1067.0520717344816,-766.589069909167,2888.284446016286
2024-06-14,975.3719777271318,-869.346250761975,2889.3809698303394
2024-06-15,1023.4677529767833,-671.7492956402467,2779.2266994197234
2024-06-16,1089.602816378374,-727.2088006455723,2884.8764314388336
2024-06-17,2076.660812212928,70.40246580551974,4035.5332000524218
2024-06-18,1172.051670228253,-583.6209422440245,3012.570834354173
2024-06-19,1141.0155399707392,-638.8790530289036,3017.214483355718
2024-06-20,1093.1719683870406,-573.7467025611026,2962.2486237659277
2024-06-21,1018.4845610411246,-828.1789576015641,2823.4712173030557
2024-06-22,1081.513736406654,-565.661082852209,2898.456981231451
2024-06-23,1160.4280129968802,-826.5981691155072,3003.4587466424127
2024-06-24,1113.5544795429876,-727.2955869959708,2973.6866190512087
2024-06-25,1261.9541630600863,-494.5410968301609,3061.8470130838305
2024-06-26,1237.3791264808387,-589.8020386304323,3058.2179208423763
2024-06-27,1194.157887789627,-579.4906875634778,2982.1443234484145
2024-06-28,1122.480554202581,-681.9675532344453,2983.6136915798274
2024-06-29,1187.1760019086457,-605.5574767636542,3097.440963704367
2024-06-30,1266.7120581671466,-606.2542557137879,3117.1717376485335
2024-07-01,1219.73396554957,-667.5578290456509,2971.137867183915
2024-07-02,1367.6272419477637,-452.5800105484007,3260.7338774202235
2024-07-03,1342.4621824439075,-454.8514027105268,3180.455255786932
2024-07-04,1298.8670120455465,-458.99011166058267,3195.4820887107458
2024-07-05,1227.3014897015462,-616.3773573500094,3045.019801383922
2024-07-06,1292.8236753291685,-529.7035823149502,3265.8832282790268
2024-07-07,1374.0811678993825,-339.5684342467401,3281.3482590465846
2024-07-08,1329.8423914429284,-650.5788609494756,3226.7582977551174
2024-07-09,1481.5542889561218,-404.1205583609248,3382.333043602739
2024-07-10,1461.2838501593221,-438.18563883217263,3263.1263007670177
2024-07-11,1423.5905920859395,-300.2940094260729,3338.7054824460843
2024-07-12,1358.8018285346852,-440.9791344595012,3082.549972917035
2024-07-13,1431.783402460372,-343.61668320641627,3165.9475928189177
2024-07-14,1520.937071417467,-319.2220756527805,3258.677478119243
2024-07-15,1484.7399410770593,-482.727924393945,3317.8659952962275
2024-07-16,1644.3120532823723,-124.25972692755597,3457.611632507688
2024-07-17,351.9730320750166,-1548.184776026637,2246.5077896487305
2024-07-18,1600.1080371452658,-166.86489089797348,3486.9945989537246
2024-07-19,1540.4939944952516,-125.56587699618869,3403.9134122397995
2024-07-20,1617.0458035442502,-150.71703460156445,3386.2481373298497
2024-07-21,1707.8458266444259,-132.80331678788062,3578.49634324762
2024-07-22,1671.0920899958196,-207.09473940398854,3598.440686420429
2024-07-23,1827.677392363618,-60.28191100731,3621.600049813229
2024-07-24,1809.1522580851893,17.418223499906905,3650.265382788845
2024-07-25,1769.618142104131,-93.52509181309897,3587.537361857703
2024-07-26,1699.0220255803524,-104.24704335282085,3532.362156909388
2024-07-27,1761.9444145858683,-158.85069316721442,3751.5873574358457
2024-07-28,1836.61132772873,11.632587315725491,3561.964808998644
2024-07-29,1781.4451397307816,59.12077356477924,3696.773718748893
2024-07-30,1917.6399541869487,87.15708609010748,3713.074080476818
2024-07-31,1877.1182967672348,-9.816081206391809,3790.0494348506204
2024-08-01,1814.4156840291844,12.319204518749292,3674.881761388151
2024-08-02,1719.9644298475994,-101.41088754205144,3620.578824704483
2024-08-03,1758.8689954747194,32.44328542949823,3583.295506008766
2024-08-04,1809.903824269299,-51.06451573434676,3733.6864103031603
2024-08-05,1732.0489354024012,-109.14903556553591,3534.10762346099
2024-08-06,1847.0493962759258,-9.984920175622198,3747.7491219624644
2024-08-07,1787.3559385156213,-94.8479872217406,3540.0974161767163
2024-08-08,1707.9937586300682,-144.3653950685853,3609.895253819932
2024-08-09,1599.8313491589663,-211.24572912246737,3516.0905299805404
2024-08-10,1628.3421332852379,-310.6911483801455,3448.536082657992
2024-08-11,1672.5902796444243,-235.69827270834557,3518.425102862859
2024-08-12,1591.756362536483,-380.88816942138095,3372.2035226267
2024-08-13,1707.689320966885,-177.9046700290866,3597.658614924531
2024-08-14,1652.8422471080476,-171.55399033640444,3371.4679020796057
2024-08-15,2464.863739141746,712.1703374641643,4405.483722966742
2024-08-16,1486.2452352983948,-330.1872161788101,3461.0793872438185
2024-08-17,1530.3317239646328,-333.86636842491,3359.6049392594236
2024-08-18,1593.0694601215062,-170.36085565310256,3462.2893730339847
2024-08-19,1533.1638715154124,-318.3983960490596,3382.971487868898
2024-08-20,1671.9192551649667,-224.83287194707634,3522.788406935427
2024-08-21,1641.1890096047778,-253.71632621642607,3551.6356803041995
2024-08-22,1595.2587354909765,-194.67298345452963,3437.8840339433514
2024-08-23,1524.1337051033008,-274.0519819904786,3258.45952695939
2024-08-24,1592.3229946751085,-159.91747797352826,3422.6336292568067
2024-08-25,1677.8510559829308,-278.4764866203898,3408.729931731178
2024-08-26,1281.258165848565,-410.35460014565285,3137.6207584694466
2024-08-27,1795.9500657139642,106.62188629621305,3545.4089466999794
2024-08-28,1780.6295203799846,-28.263653221898245,3636.6393751412115
2024-08-29,1746.729380359293,-115.7208927774806,3546.3597653106176
2024-08-30,1683.9449477940937,-145.7090869024529,3379.5499235988564
2024-08-31,1756.5814937286395,-121.74927482034349,3581.2092610795758
