rank,product,historical_total,forecast_horizon_days,forecast_sum,forecast_mean_daily
1,Choco Truffle Cake,4309145.0016,90,574069.2372228407,6378.547080253785
2,Pineapple Cake,1603552.598,90,133658.80234400838,1485.0978038223152
3,Fresh Fruit Cake,1178605.6676,90,185227.94058994352,2058.08822877715
4,Ferrero Rocher Cake,1011030.3278,90,241048.1274725443,2678.3125274727145
5,Belgium Choco Mousse Cake,1001520.4872,90,92100.57276650198,1023.3396974055776
6,Biscoff Jar Cake,786735.8576,90,55763.57331641835,619.595259071315
7,Dream Cake,620707.5244,90,75348.88858498356,837.209873166484
8,Tiramisu Cake,620652.598,90,69122.38973315326,768.0265525905918
9,Butterscotch Cake,574628.972,90,73261.28741997825,814.014304666425
10,Choco Vanilla Cake,483859.6262,90,55007.6866283119,611.1965180923545
