ds,yhat,yhat_lower,yhat_upper
2024-01-01,2086.9466297096596,-4791.036178130532,9195.64278647027
2024-01-02,2399.9168583211394,-4904.455986779246,9409.964987722053
2024-01-03,2353.274113470073,-4764.1266657832175,9435.646237299787
2024-01-04,1815.9692595085544,-5025.794275932663,8818.671019459975
2024-01-05,1402.134187808212,-5342.268914787834,8240.413333859575
2024-01-06,1541.8961154214649,-5310.076642961173,8659.19695046701
2024-01-07,1228.9941669177015,-5576.050909215013,8033.231459186112
2024-01-08,1167.5462375667398,-5934.638002478486,8271.151928701927
2024-01-09,1498.1462929772642,-5699.032011502597,8097.591267557137
2024-01-10,1481.8519798788047,-5775.280814797822,8594.712606380537
2024-01-11,987.0445792766191,-6302.255721639404,7897.987168980043
2024-01-12,627.0459482296847,-5879.744477191318,7849.355714262443
2024-01-13,830.952124882097,-5810.416321947385,7492.114970422293
2024-01-14,591.2743916398549,-6250.692626054081,7760.526685834693
2024-01-15,610.7351236910242,-5972.853697424019,7731.7447730130925
2024-01-16,1028.3977925178983,-6185.7507006454125,7905.417351039257
2024-01-17,1103.6901220714697,-5856.572541519339,7529.19930667666
2024-01-18,703.3014856310717,-6281.988831764573,6817.66362973078
2024-01-19,438.8382071874953,-6339.837779668853,6988.932635398013
2024-01-20,737.6954481521848,-6208.652653238429,8116.083402674023
2024-01-21,590.7354968634397,-6532.028099336156,7216.587477079602
2024-01-22,699.1188540744631,-6595.104470679774,7847.484823616562
2024-01-23,1200.4666188954698,-5340.847002538259,8134.866841565604
2024-01-24,1352.9123996598921,-5470.923956483244,7846.468897678045
2024-01-25,1022.0241766686381,-5813.136797768525,8272.713988474614
2024-01-26,2127.443692647492,-4506.030398392785,9388.650436425414
2024-01-27,1168.9505512994604,-5578.310801764096,8696.083250251037
2024-01-28,1063.793929640071,-5862.86223049691,8089.381318059511
2024-01-29,1203.8826621937746,-5899.970189535281,8075.508494302838
2024-01-30,1726.7678163331066,-5464.908908246485,8233.501320782516
2024-01-31,1890.7228652374895,-4899.533136393951,8681.301524132745
2024-02-01,1561.6533691521936,-5465.148630454301,8742.4372172988
2024-02-02,1350.7552925731634,-5856.876801549057,7989.8379841034375
2024-02-03,1685.3808769577313,-5530.958309845119,8248.819678272015
2024-02-04,1556.7023053246098,-5435.1222006576245,8293.791020996669
2024-02-05,1666.5202169813779,-5084.535328961172,9086.998190607737
2024-02-06,2153.3964361466265,-4692.344633399324,9342.022461169692
2024-02-07,2276.6701672933505,-4679.301167921892,9354.18329789972
2024-02-08,1903.339248094174,-4813.089963355913,8859.437662691655
2024-02-09,1645.6908540599966,-5309.464196164719,8633.342653763737
2024-02-10,1932.1412672371189,-4601.146162726981,8704.799552587152
2024-02-11,1754.8756276828215,-5897.190380673628,8690.226204491884
2024-02-12,1816.6352964071593,-5438.60578061494,8497.08852533554
2024-02-13,2256.8326651828293,-4823.717703120262,9001.645283360158
2024-02-14,2335.553023666767,-4681.7177317878,8904.193112100142
2024-02-15,1920.4253107454203,-5008.774851548821,8981.387973673043
2024-02-16,1624.246255062409,-5109.639431985564,8547.584978372872
2024-02-17,1875.817503204515,-5219.373250995589,8661.34228756249
2024-02-18,1667.5865199003279,-5407.226081906754,8830.066861958234
2024-02-19,1702.4386419920063,-5479.112233649432,8604.407278410481
2024-02-20,2119.81977352257,-4201.461604979782,9012.331118388234
2024-02-21,2179.7488974201765,-4814.501482570138,10098.285416302626
2024-02-22,1749.7017255485484,-4867.165096265342,9031.133509631261
2024-02-23,1442.249435520081,-5770.2647812329415,8328.231360449028
2024-02-24,1685.911504386348,-5217.607775262994,8539.51847440193
2024-02-25,1472.8128240813785,-5317.893723493115,7797.500738387284
2024-02-26,1505.491889943041,-5762.223312963539,8288.124025874988
2024-02-27,1923.038987968553,-4996.276207786913,8615.598029052797
2024-02-28,1985.1230413332678,-5344.89035659403,8854.12612872496
2024-02-29,1558.887987055757,-5649.400928469879,8719.316569647468
2024-03-01,1256.6022550696823,-5698.899732398285,7937.065186501119
2024-03-02,1506.5200743968176,-5457.319862237418,8331.006545985932
2024-03-03,1300.544599252295,-5650.723733431258,7925.72468628568
2024-03-04,1341.0395549328052,-5068.99574374418,8338.705052669557
2024-03-05,1766.9683380399065,-5251.273071596186,8440.627239247138
2024-03-06,1837.9193382603746,-4459.120484628246,8331.322396199483
2024-03-07,1420.998549931507,-5881.377367035764,8545.934674559177
2024-03-08,-3190.0626481397703,-10041.001750605425,3811.9401975248475
2024-03-09,1388.6263573485026,-5369.47870526794,8121.624180241664
2024-03-10,1193.410249091364,-5305.214977973211,7903.724109753698
2024-03-11,1245.249885520607,-5830.117790803818,8638.149602877365
2024-03-12,1683.1719389786422,-5610.814053854463,8881.46421968431
2024-03-13,1766.8207887356527,-5188.081683686115,8772.806832344138
2024-03-14,1363.3423651769306,-6011.342486223307,7922.853007772512
