ds,yhat,yhat_lower,yhat_upper
2024-01-01,-408.9768678144721,-3183.1865347634025,2495.448836814255
2024-01-02,-244.10333064343436,-3263.155822683033,2744.5395565762733
2024-01-03,9.052332143408933,-3314.7553619131263,3125.365832632941
2024-01-04,-441.8838502291775,-3635.35167942356,2667.20717501798
2024-01-05,-363.60125014794494,-3284.011142435709,2603.890029505175
2024-01-06,-394.2551170241909,-3365.688608066422,2962.606545274319
2024-01-07,-394.12129143013055,-3352.3236941370405,2597.294740222655
2024-01-08,-319.89799266540285,-3338.0971598390147,2728.572307771676
2024-01-09,-169.2403552793821,-3138.570719216515,2665.049890629834
2024-01-10,69.34156384188795,-2953.1521439683156,3006.267087413188
2024-01-11,-395.93444822589186,-3452.878598870689,2615.246936924379
2024-01-12,-331.17920129041545,-3390.824981327068,2791.8730974048412
2024-01-13,-373.99932200874446,-3528.8851923265033,2637.933437633234
2024-01-14,-384.16773856712837,-3347.1898145548307,2565.8601857349877
2024-01-15,-317.9398322421828,-3095.6176551460576,2899.1111480325003
2024-01-16,-172.60054163579537,-3111.8215200940986,2881.858027753669
2024-01-17,63.627195125691756,-2896.3356380148784,3049.2182609793654
2024-01-18,-400.842821755868,-3450.82132716347,2893.188207903713
2024-01-19,-332.021911711954,-3232.494789374503,2840.665852123667
2024-01-20,-367.51640936820377,-3331.0437708521704,2908.9458827668795
2024-01-21,-367.19803054525937,-3341.639846403766,2882.7222491264047
2024-01-22,-287.5171363274053,-3103.6056420840505,2795.9624196134337
2024-01-23,-126.04428323767377,-3129.422944126101,2892.8638707344226
2024-01-24,128.62937978942102,-3177.2670375783187,3102.7374884239357
2024-01-25,-315.5228574299383,-3338.348113285525,2772.1877757916754
2024-01-26,278.9288699517608,-2716.284842980096,3530.6850021917517
2024-01-27,-237.99384530953645,-3332.9871469840805,2964.18435493758
2024-01-28,-214.91546389703538,-3211.2477425054954,2879.7972439940127
2024-01-29,-112.82152936202218,-3391.3941939135593,3106.086915957397
2024-01-30,70.12468661136674,-3150.3315617668823,3112.5739603219868
2024-01-31,344.75603870319776,-2869.8489293989783,3304.222767769418
2024-02-01,-81.49800693979137,-3081.2214319679983,2922.774801715841
2024-02-02,24.35348565462911,-2820.0223440805003,3005.872362607528
2024-02-03,23.719974598079716,-3166.8841312176864,3069.0641958051556
2024-02-04,55.785511451516896,-2937.5659378033642,3150.662663792286
2024-02-05,163.22068582704554,-2888.6854616908986,3024.810354157042
2024-02-06,347.66437824378,-2776.2290240395364,3589.633438196213
2024-02-07,619.8441433258938,-2449.828203573417,3741.487832679957
2024-02-08,187.17895749223743,-2773.792325210699,3071.7322200145436
2024-02-09,282.74380161056945,-2785.3826391364396,3517.5540223552803
2024-02-10,268.1239340705703,-2701.246395906576,3546.1640017720624
2024-02-11,282.7657882244907,-2654.137063157302,3501.3285955743904
2024-02-12,369.68151974867374,-2704.988276623144,3444.3046755633795
2024-02-13,530.9213694707468,-2536.6217776808885,3596.0586754801375
2024-02-14,777.682946044614,-2120.209834058849,4012.1752139871805
2024-02-15,317.90148793809203,-2570.1072790987814,3397.807879282609
2024-02-16,385.20093393644,-2517.5467925352295,3553.2872410372074
2024-02-17,341.7340391195925,-2858.5014696761214,3297.763039921094
2024-02-18,327.518863593128,-2617.3184495871724,3237.4376458981615
2024-02-19,386.12905342122735,-2819.61470092266,3370.951552292982
2024-02-20,520.152462763882,-2724.8665282761604,3619.6555024265945
2024-02-21,741.28758398537,-2226.3000953530523,3688.786691005141
2024-02-22,257.92217667453673,-2936.1265496272886,3233.041827427719
2024-02-23,304.07421658207426,-2939.4673687827126,3295.4952894852586
2024-02-24,242.2236459486237,-2820.710842125836,3309.801179286033
2024-02-25,212.64244372322952,-2825.266068092747,3239.0300327916143
2024-02-26,259.0805685716207,-2597.057006370742,3218.139549886227
2024-02-27,384.22239659278443,-2810.5028045669064,3681.853982297111
2024-02-28,599.783132614983,-2564.3078206726027,3802.222715729881
2024-02-29,114.08953376378219,-2976.61160533008,3240.024875041119
2024-03-01,161.02496522586213,-3151.110203580213,3256.406172385283
2024-03-02,102.86710233956416,-2881.8062033598135,2975.548304518295
2024-03-03,79.62559119411486,-2891.6986954614713,3069.8425283260794
2024-03-04,134.73696924366533,-2895.6929494518527,3309.5511174076414
2024-03-05,270.53118380636204,-2617.7889023724942,3232.306089785012
2024-03-06,498.33887814361753,-2648.342485116488,3499.082066072001
2024-03-07,26.08346321161099,-2908.335565164826,3082.1079100252564
2024-03-08,-1343.624732808058,-4345.221234957817,1797.2213444767635
2024-03-09,43.672505384476665,-2995.526128546749,3146.556773080037
2024-03-10,35.00582582403899,-3070.3482374811497,3054.192220733582
2024-03-11,104.30717996083433,-2922.8156102836615,3011.8973392685502
2024-03-12,253.57336000018336,-2822.407958624539,3454.4083048061934
2024-03-13,493.84339196109903,-2617.514518160685,3367.1635432291623
2024-03-14,32.79687506514608,-3023.2042063686376,3050.8278019191926
2024-03-15,103.7152110919302,-3277.15203781187,3158.0256497557234
2024-03-16,68.33363509384668,-3046.52967073545,3079.9993962308527
2024-03-17,66.1910118104094,-3173.193461098325,3037.4246414933564
2024-03-18,140.33442784074504,-3085.772063877217,3390.7694395077024
2024-03-19,292.79272407787704,-2760.629506048721,3323.4853302890983
2024-03-20,534.6880271784898,-2592.2306508292286,3498.983684423653
2024-03-21,73.82927075216855,-2916.940467098006,3092.6258386559807
2024-03-22,143.66744558277833,-3006.0157771833688,3252.234897595002
2024-03-23,106.1407072513087,-3009.288134848149,3260.9331913679766
2024-03-24,101.01654398962592,-3161.840755496554,3271.024777327649
2024-03-25,171.58828701567535,-2956.483282109235,3168.13269652578
2024-03-26,320.14036578878586,-2811.942614467259,3237.444957163294
2024-03-27,558.0516224893548,-2510.8103516897704,3635.045799118049
2024-03-28,93.38092276836477,-3056.563435552347,3145.523455323704
2024-03-29,1656.1329064386523,-1449.00142276937,4487.009449286305
2024-03-30,119.50705494203862,-2919.513074293816,3164.142458697229
2024-03-31,112.41293728515836,-2902.0221924878033,3338.1897907449033
2024-04-01,181.9832396263759,-3049.92996396123,3213.9039711542096
2024-04-02,330.6249043574069,-2781.943317771464,3294.144193970481
2024-04-03,569.8022627482216,-2583.487272548287,3604.5713000642972
2024-04-04,107.62158371769675,-2887.2557234250908,3207.7455518109127
2024-04-05,177.7791073467596,-2840.477301183857,3120.24130528775
2024-04-06,142.40083891397893,-2920.3777720465955,3235.065167022527
2024-04-07,141.38138855482651,-2862.325593349066,2882.2718116389347
2024-04-08,218.0791552180853,-3011.4411134057477,3242.825485888894
