ds,yhat,yhat_lower,yhat_upper
2024-02-22,35.27977317236464,-2258.840014310863,2479.91893685337
2024-02-23,56.059008213765225,-2228.4577425107423,2299.289333051791
2024-02-24,133.9343121768517,-2155.0775516446224,2369.0202062885714
2024-02-25,50.565699980845885,-2266.228158130097,2372.263620456618
2024-02-26,-144.56116547353324,-2594.5481719228014,2031.0520479921054
2024-02-27,111.205724895982,-2368.946657786464,2381.4024798180767
2024-02-28,147.47704962604197,-2275.1378568135547,2528.0380193833435
2024-02-29,11.247966403528594,-2365.777223162423,2298.735612079852
2024-03-01,20.470832523627436,-2277.398143716979,2470.0995268446845
2024-03-02,85.25481653047208,-2249.1162576134816,2337.245962294813
2024-03-03,-12.59727167105467,-2414.648236918056,2416.9242825568963
2024-03-04,-223.39637121718852,-2501.736796428125,2027.5468027417078
2024-03-05,15.769966730382194,-2306.4125672368514,2226.432728693645
2024-03-06,34.82437107855681,-2263.2159277158344,2327.347013312449
2024-03-07,-118.88189307310402,-2385.1247055870363,2290.5616320824106
2024-03-08,-1302.931156904144,-3411.483371144782,1097.4393423026993
2024-03-09,-79.02013984247316,-2461.0298611122844,2476.6657790993395
2024-03-10,-192.69433378546822,-2474.0652533968528,2073.4619041045826
2024-03-11,-417.90763529434474,-2688.7246472455727,2011.655408489464
2024-03-12,-191.32755409889037,-2455.2797287791623,2210.2767898914076
2024-03-13,-182.63482518240326,-2492.3307647019906,2118.440062361853
2024-03-14,-344.1169224501348,-2571.800697799813,1970.910257260976
2024-03-15,-357.1154870615529,-2759.4231930373653,1998.73728397683
2024-03-16,-310.8470800691157,-2625.12758164059,2010.5911059273674
2024-03-17,-422.88630971991233,-2787.3446994339088,1983.4571109679655
2024-03-18,-642.9921570301507,-2993.799848544545,1749.4508556013723
2024-03-19,-407.7881625792238,-2699.8712558356283,1867.3158400803227
2024-03-20,-386.99080244278923,-2646.0907277877454,1770.3703205791733
2024-03-21,-533.0035615199415,-2895.625428405151,1784.0522111023051
2024-03-22,-527.3626683066792,-2880.0704981742297,1849.6378829036425
2024-03-23,-459.55393285375567,-2729.3452282630333,1993.3388474222836
2024-03-24,-547.4898417384088,-2924.667089948345,1915.4070382583814
2024-03-25,-741.3278985398504,-3032.8069209378004,1547.1555015287315
2024-03-26,-478.1410983363528,-2528.0849666187337,1783.1927979790337
2024-03-27,-428.1351422086577,-2639.877326250059,2028.4429595680142
2024-03-28,-544.2302225756688,-3006.824597249629,1878.884153302149
2024-03-29,257.12675928850047,-2187.0208572633474,2505.9013383855063
2024-03-30,-410.94349079599994,-2856.053297552209,1876.9260489366538
2024-03-31,-470.01172460646666,-2627.9877858401665,1836.703884623954
2024-04-01,-636.3500294775015,-2819.026324237888,1740.3488430788577
2024-04-02,-347.48773805036603,-2790.706004269946,1842.5564820901313
2024-04-03,-274.03796321798694,-2423.5597251426757,1865.274730402872
2024-04-04,-369.2697016541706,-2623.086317351225,2079.230725726277
2024-04-05,-315.53256268062665,-2638.0351225467552,1983.776374404288
2024-04-06,-203.05417215350843,-2457.7704986217955,2005.4138648389517
2024-04-07,-250.39996139295823,-2583.680366039864,1928.2313222030573
2024-04-08,-408.276824100024,-2580.374529364605,2061.020426837495
2024-04-09,-114.19194323972894,-2512.5955733238584,2247.810999952876
2024-04-10,-38.66171508949597,-2347.812575971605,2400.1209644149035
2024-04-11,-21.853920522474283,-2177.27624235215,2351.560203884785
2024-04-12,-84.69387265134537,-2437.8087476790793,2267.4609491138876
2024-04-13,21.678533657084415,-2190.3951034696743,2416.3877787747156
2024-04-14,-33.91005517469611,-2343.45527244673,2250.1310580072486
2024-04-15,-201.8068210333362,-2636.828208457724,1955.0823117786658
2024-04-16,80.86152100047522,-2217.0490413019656,2343.2637978591556
2024-04-17,143.96743342792624,-2200.9382540947245,2398.779391100697
2024-04-18,34.79311946686775,-2173.0755834467886,2341.356483233545
2024-04-19,71.58690168228708,-2281.9982368544306,2359.9058214494057
2024-04-20,164.7459622401091,-2210.1809705253213,2437.7255151061863
2024-04-21,-298.93194757853865,-2671.951644825638,2028.181249514133
2024-04-22,-83.73048263291383,-2350.981981486652,2308.6301090703164
2024-04-23,187.62437571235452,-2115.783123397797,2387.1254020648253
2024-04-24,240.42108737792353,-1944.4382611147464,2684.018799820382
2024-04-25,122.02853132194294,-2198.130186254721,2413.4524431906616
