ds,yhat,yhat_lower,yhat_upper
2024-01-01,383.5144090146829,-580.8383984856802,1400.9718775648344
2024-01-02,411.24587822155536,-597.3312936862118,1433.9079310812397
2024-01-03,387.9658444535137,-660.957618822759,1410.1167937964885
2024-01-04,296.3745167391211,-740.2005290631862,1404.156756857791
2024-01-05,257.10723202851693,-845.1072629435452,1353.9353328955106
2024-01-06,353.4684761223846,-765.5078952715206,1424.6712834407672
2024-01-07,219.4217231434584,-867.6260238207285,1225.537705655522
2024-01-08,250.3462386080804,-884.1927550854296,1324.6274554858342
2024-01-09,279.84958169631176,-803.2369215553379,1385.2027635560298
2024-01-10,259.91606616164023,-817.089126930026,1307.4460241439149
2024-01-11,173.27763158871863,-887.0936786205053,1273.4995335886047
2024-01-12,140.56619609602427,-917.5497653426781,1187.713340991411
2024-01-13,245.0464705396512,-809.3107819883531,1295.577564671502
2024-01-14,120.60559009485553,-919.7520061139878,1258.3250574217625
2024-01-15,162.5107256420539,-896.0236404204912,1220.636481001733
2024-01-16,204.22339813493363,-901.8026991516205,1222.5058069885383
2024-01-17,197.5507135400053,-759.9872528615109,1278.7562444056573
2024-01-18,125.01990002942944,-968.2202894015946,1266.6377119372453
2024-01-19,107.03512239655629,-939.7077312950561,1280.9986018379263
2024-01-20,226.61543435504848,-831.6111655696272,1274.8440711989952
2024-01-21,117.39008545827551,-913.2404342628738,1229.6170911161594
2024-01-22,174.362190247384,-859.5419889770558,1229.7623375505013
2024-01-23,230.72931685290288,-740.7250988302494,1348.2998629752037
2024-01-24,238.04104037714998,-846.7130824633282,1288.7709666945188
2024-01-25,178.57966917097582,-831.4484580727773,1283.0159286962569
2024-01-26,131.9282125304435,-916.9381462435165,1189.48080721487
2024-01-27,302.6874454561981,-740.6513932984079,1405.437850043404
2024-01-28,202.52867048542197,-796.0624351704237,1317.0686042633833
2024-01-29,266.90883481092703,-843.1163467712247,1319.8591081510322
2024-01-30,328.9206692327697,-710.7950056107038,1514.1437690594594
2024-01-31,340.04727735911405,-649.8710184134612,1395.4971335224373
2024-02-01,282.54416967705026,-788.234478617591,1285.6465795116803
2024-02-02,276.60225027740904,-752.2214497371921,1296.6916627376086
2024-02-03,405.0904567649796,-669.5789249655214,1438.4204676594575
2024-02-04,301.55414709684135,-699.688683992551,1380.7377301260547
2024-02-05,360.9801649972594,-727.0506934776173,1351.5519569110606
2024-02-06,416.6171119629381,-539.2827510733117,1449.2957529874056
2024-02-07,420.1308896104103,-591.5539545899386,1514.1898760110994
2024-02-08,353.98178574878017,-765.9517414789283,1402.3173089954487
2024-02-09,338.5820192285721,-716.8729621585768,1438.199323425842
2024-02-10,457.0325941611363,-545.012556774678,1550.9793272716117
2024-02-11,343.11572002981967,-676.7465007317898,1410.9586605394775
2024-02-12,392.05389356780637,-682.3624530127823,1510.3478048007216
2024-02-13,437.3243335404981,-651.0815779890876,1567.2527476013308
2024-02-14,430.80898927426483,-628.8533723900824,1495.7988217589548
2024-02-15,355.1665429347193,-616.986258372475,1446.4055331737134
2024-02-16,330.9854526758154,-734.6306311800452,1324.309850377403
2024-02-17,441.5170011727557,-528.3750171661688,1535.354310344222
2024-02-18,320.66469878465597,-720.7913692698232,1440.5412207649226
2024-02-19,363.7412063332331,-675.8027808190584,1411.319300734953
2024-02-20,404.2815124811229,-657.1262352428643,1403.565715641375
