rank,product,hist_totalValue,forecast_totalValue_sum,forecast_totalValue_mean_daily,hist_qty,forecast_qty_sum,forecast_qty_mean_daily
1,Choco Truffle Cake,4309145.0016,574069.2372228407,6378.547080253785,32334.0,4124.608430658439,45.828982562871545
2,Pineapple Cake,1603552.598,133658.80234400838,1485.0978038223152,9071.0,1090.3082830223775,12.114536478026416
3,Fresh Fruit Cake,1178605.6676,185227.94058994352,2058.08822877715,6732.0,984.816293724138,10.942403263601532
4,Ferrero Rocher Cake,1011030.3278,241048.1274725443,2678.3125274727145,3047.0,755.3197377703003,8.392441530781115
5,Belgium Choco Mousse Cake,1001520.4872,92100.57276650198,1023.3396974055776,3005.0,359.524095476856,3.994712171965067
6,Biscoff Jar Cake,786735.8576,55763.57331641835,619.595259071315,7110.0,640.0305871103682,7.11145096789298
7,Dream Cake,620707.5244,75348.88858498356,837.209873166484,2890.0,470.9333803198757,5.232593114665286
8,Tiramisu Cake,620652.598,69122.38973315326,768.0265525905918,2928.0,386.8882027832842,4.298757808703158
9,Butterscotch Cake,574628.972,73261.28741997825,814.014304666425,5959.0,709.5057742077315,7.883397491197017
10,Choco Vanilla Cake,483859.6262,55007.6866283119,611.1965180923545,4223.0,364.87524671450245,4.054169407938916
