#,Product Name,UY ID,Final Product SKU,KIT SKU,KIT Name,# Kit Items,Has L1 (Assembly),Has L2 (Final),Issue
1,Almond Honey Tea Cake,29153,1006079,KIT003,Almond Honey Tea cake (PC) — kit,9,Y,Y,OK
2,Almond Praline Cake (500 gm),5938,1001255,KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,19,Y,Y,OK
3,American Choco Chip Cookies,24900,1004358,KIT006,American Choco Chip Cookies (PC) — kit,9,Y,Y,OK
4,Anjeer Walnut Tea cake,25533,1004583,KIT007,Anjeer Walnut Tea cake (PC) — kit,10,Y,Y,OK
5,Apple Pie Tart (),6022,1002080,KIT008,Apple Pie Tart(Pc) — kit,3,Y,Y,OK
6,Bake Cheese Pastry Base,4528,1000250,,,0,Y,Y,NO KIT
7,Baked Cheese Garlic Crackers 100g,23640,1004235,,,0,Y,Y,NO KIT
8,Baked Cheesecake (1 Kg),25530,1004572,,,0,Y,Y,NO KIT
9,Baked Cheesecake (600 gm) (600 gm),4523,1000920,,,0,Y,Y,NO KIT
10,Baked Cream Onion Crackers (100g),23641,1004236,,,0,Y,Y,NO KIT
11,Baked Whole Wheat Seeded Crackers (100g),23642,1004237,,,0,Y,Y,NO KIT
12,Banana And Walnut Tea Cake (Eggless),6012,1000502,KIT009,Banana And Walnut Tea Cake(Pc) ((EGGLESS)) — kit,11,Y,Y,OK
13,Banoffee Jar Cake,5709,1000353,KIT010,Banoffee Jar(Cf) — kit,5,Y,Y,OK
14,Basic Mango Jar Cake,22972,1003457,KIT011,Basic Mango Jar Cake (CF) — kit,4,Y,Y,OK
15,Basque Cheesecake,20265,1002400,,,0,Y,Y,NO KIT
16,Basque Cheesecake Slice,22710,1003129,,,0,Y,Y,NO KIT
17,Belgian Chocolate Mousse Jar Cake,5756,1001192,KIT014,Belgium Mousee Jar Cake(Cf) — kit,6,Y,Y,OK
18,Belgian Party Tub,27534,1004989,KIT012,Belgian Party Tub (DR) — kit,10,Y,Y,OK
19,Belgium Choco Mousse Cake (500 gm),5628,1002366,KIT013,Belgium Choco Mousee Cake(Dr)  (500 GM) — kit,13,Y,Y,OK
20,Biscoff Baked Cheesecake (600 gm),5660,1001195,,,0,N,Y,NO KIT; NO L1
21,Biscoff Baked Cheesecake Slice,14613,1001588,,,0,N,Y,NO KIT; NO L1
22,Biscoff Brownie (6 pcs),14343,1001539,,,0,Y,Y,NO KIT
23,Biscoff Cheesecake Jar,5755,1001190,KIT015,Biscoff Cheesecake Jar (DR) — kit,2,Y,Y,OK
24,Black Forest Pastry,4348,1000102,KIT019,Black Forest Pastry(Cf) — kit,6,Y,Y,OK
25,Blueberry & Choco Chip Cup cake (2 each),23338,1003552,KIT120,Overloaded Choco Chip Cup Cake(Cf) — kit,3,Y,Y,OK
26,Blueberry Bake Cheesecake Slice,15259,1002409,,,0,N,Y,NO KIT; NO L1
27,Blueberry Baked Cheesecake (600 gm),13296,1001194,,,0,N,Y,NO KIT; NO L1
28,Blueberry Cup Cake,6010,1000317,KIT020,Blueberry Cup Cake(Cf) — kit,2,Y,Y,OK
29,Blueberry Jar Cake (180 ML),5710,1000113,KIT022,Blueberry Jar Cake(Cf) — kit,3,Y,Y,OK
30,Blueberry Jar Cake (350 ml),13494,1002375,KIT021,Blueberry Jar Cake (350 ml) (CF) (350 ML) — kit,3,Y,Y,OK
31,Brookie Brownie,4517,1000990,,,0,Y,Y,NO KIT
