#,Product,KIT SKU,KIT Name,Ingredient,Qty,UOM,Type
1,Almond Honey Tea Cake,KIT003,Almond Honey Tea cake (PC) — kit,Water,54,gram,INGREDIENT
1,Almond Honey Tea Cake,KIT003,Almond Honey Tea cake (PC) — kit,Honey,30.6,gram,INGREDIENT
1,Almond Honey Tea Cake,KIT003,Almond Honey Tea cake (PC) — kit,Kerry Tea Cake Premix,54,gram,INGREDIENT
1,Almond Honey Tea Cake,KIT003,Almond Honey Tea cake (PC) — kit,Almond Flour,9,gram,INGREDIENT
1,Almond Honey Tea Cake,KIT003,Almond Honey Tea cake (PC) — kit,Fresh Cream,17.7,ml,INGREDIENT
1,Almond Honey Tea Cake,KIT003,Almond Honey Tea cake (PC) — kit,Unsalted Butter,17.3,gram,INGREDIENT
1,Almond Honey Tea Cake,KIT003,Almond Honey Tea cake (PC) — kit,Sugar Breakfast,75,gram,INGREDIENT
1,Almond Honey Tea Cake,KIT003,Almond Honey Tea cake (PC) — kit,Maida,63,gram,INGREDIENT
1,Almond Honey Tea Cake,KIT003,Almond Honey Tea cake (PC) — kit,Refined Oil,54,ml,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Water,39,kg,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Lemon,400,gram,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Malta,400,gram,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Sugar,14.5,kg,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Almond Flex,100,gram,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Premix-Classic Chocolate,5,kg,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Water,5.12,kg,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Eggfree Chocolate Premix,5,kg,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Refined Oil,920,ml,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Fresh Cream,40,ltr,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Dark Compound,64,kg,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Morde Milk Chocolate M28,500,gram,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Delta Cb Paillete Feuilletine,500,gram,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Almond,444.44,gram,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Sugar,555.56,gram,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Van Houten Dark Chocolate (46.5%),2,kg,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Fresh Cream,10,ltr,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Semi - Sweet Compound,8,kg,INGREDIENT
2,Almond Praline Cake (500 gm),KIT147,Sugar syrup(Hot kitchen) (50 Kg) — kit,Refined Oil,400,ml,INGREDIENT
3,American Choco Chip Cookies,KIT006,American Choco Chip Cookies (PC) — kit,Van Houten Dark Chocolate (46.5%),400,gram,INGREDIENT
3,American Choco Chip Cookies,KIT006,American Choco Chip Cookies (PC) — kit,Unsalted Butter,220,gram,INGREDIENT
3,American Choco Chip Cookies,KIT006,American Choco Chip Cookies (PC) — kit,Vanilla Essence,10,ml,INGREDIENT
3,American Choco Chip Cookies,KIT006,American Choco Chip Cookies (PC) — kit,Corn Flour,4,gram,INGREDIENT
3,American Choco Chip Cookies,KIT006,American Choco Chip Cookies (PC) — kit,Salt,4,gram,INGREDIENT
3,American Choco Chip Cookies,KIT006,American Choco Chip Cookies (PC) — kit,Sugar Breakfast,130,gram,INGREDIENT
3,American Choco Chip Cookies,KIT006,American Choco Chip Cookies (PC) — kit,Maida,400,gram,INGREDIENT
3,American Choco Chip Cookies,KIT006,American Choco Chip Cookies (PC) — kit,Brown Sugar,220,gram,INGREDIENT
3,American Choco Chip Cookies,KIT006,American Choco Chip Cookies (PC) — kit,Baking Soda,6,gram,INGREDIENT
4,Anjeer Walnut Tea cake,KIT007,Anjeer Walnut Tea cake (PC) — kit,Water,54.45,gram,INGREDIENT
4,Anjeer Walnut Tea cake,KIT007,Anjeer Walnut Tea cake (PC) — kit,Cinnamon Powder,0.7,gram,INGREDIENT
